source_feature_id,raw_annotation,candidate_gene_symbols,selected_gene_symbol,mapping_status,mean_expression,variance_expression,missing_fraction,finite_values,eligible_before_duplicate_collapse,selected_for_clean_matrix
A1BG,A1BG,A1BG,A1BG,unique_gene_symbol,6.82755,0.339178,0,True,True,True
A1BG-AS1,A1BG-AS1,A1BG-AS1,A1BG-AS1,unique_gene_symbol,5.97293,0.405764,0,True,True,True
A1CF,A1CF,A1CF,A1CF,unique_gene_symbol,11.5725,0.734731,0,True,True,True
A2M,A2M,A2M,A2M,unique_gene_symbol,15.8509,0.451147,0,True,True,True
A2M-AS1,A2M-AS1,A2M-AS1,A2M-AS1,unique_gene_symbol,7.76222,0.204601,0,True,True,True
A4GALT,A4GALT,A4GALT,A4GALT,unique_gene_symbol,11.4197,0.0767963,0,True,True,True
A4GNT,A4GNT,A4GNT,A4GNT,unique_gene_symbol,6.83514,0.714453,0,True,True,True
AAAS,AAAS,AAAS,AAAS,unique_gene_symbol,10.9852,0.0220557,0,True,True,True
AACS,AACS,AACS,AACS,unique_gene_symbol,10.5265,0.0375948,0,True,True,True
AACSP1,AACSP1,AACSP1,AACSP1,unique_gene_symbol,6.43359,0.792121,0,True,True,True
AADAT,AADAT,AADAT,AADAT,unique_gene_symbol,8.3492,0.283833,0,True,True,True
AAED1,AAED1,AAED1,AAED1,unique_gene_symbol,8.13968,0.0996557,0,True,True,True
AAGAB,AAGAB,AAGAB,AAGAB,unique_gene_symbol,10.7816,0.0261058,0,True,True,True
AAK1,AAK1,AAK1,AAK1,unique_gene_symbol,13.5481,0.011744,0,True,True,True
AAMDC,AAMDC,AAMDC,AAMDC,unique_gene_symbol,9.06998,0.0745386,0,True,True,True
AAMP,AAMP,AAMP,AAMP,unique_gene_symbol,12.0575,0.0566498,0,True,True,True
AANAT,AANAT,AANAT,AANAT,unique_gene_symbol,5.33402,0.386501,0,True,True,True
AAR2,AAR2,AAR2,AAR2,unique_gene_symbol,10.698,0.0301322,0,True,True,True
AARD,AARD,AARD,AARD,unique_gene_symbol,5.96813,0.731019,0,True,True,True
