series_accession,gsm_accession,title,source_name,organism,characteristics,molecule,library_strategy,sample_type,raw_annotation_json
GSE30529,GSM757014,"Diabetic Human Kidney 43, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK43T"", ""KS1-HG_U133A_2-2765""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757014""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757014/suppl/GSM757014_KS1-HG_U133A_2-2765.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 43, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757015,"Diabetic Human Kidney 62, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK62T"", ""KS1-HG_U133A_2-2902""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757015""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757015/suppl/GSM757015_KS1-HG_U133A_2-2902.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 62, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757016,"Diabetic Human Kidney 67, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK67T"", ""KS1-HG_U133A_2-2876""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757016""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757016/suppl/GSM757016_KS1-HG_U133A_2-2876.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 67, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757017,"Diabetic Human Kidney 120, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK120T"", ""KS1-HG_U133A_2-9417""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757017""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757017/suppl/GSM757017_KS1-HG_U133A_2-9417.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 120, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757018,"Diabetic Human Kidney 148, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK148T"", ""KS1-HG_U133A_2-7680""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757018""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757018/suppl/GSM757018_KS1-HG_U133A_2-7680.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 148, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757019,"Diabetic Human Kidney 162, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK162T"", ""KS1-HG_U133A_2-6377""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757019""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757019/suppl/GSM757019_KS1-HG_U133A_2-6377.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 162, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757020,"Diabetic Human Kidney 164, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK164T"", ""KS1-HG_U133A_2-6394""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757020""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757020/suppl/GSM757020_KS1-HG_U133A_2-6394.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 164, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757021,"Diabetic Human Kidney 168, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK168T"", ""KS1-HG_U133A_2-6396""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757021""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757021/suppl/GSM757021_KS1-HG_U133A_2-6396.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 168, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757022,"Diabetic Human Kidney 178, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK178T"", ""KS1-HG_U133A_2-6575""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757022""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757022/suppl/GSM757022_KS1-HG_U133A_2-6575.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 178, Tubuli""], ""type"": [""RNA""]}"
GSE30529,GSM757023,"Diabetic Human Kidney 187, Tubuli",Tubuli of DKD kidney,Homo sapiens,tissue: kidney | tissue subregion: tubules | disease state: diabetic kidney disease (DKD),total RNA,,RNA,"{""channel_count"": [""1""], ""characteristics_ch1"": [""tissue: kidney"", ""tissue subregion: tubules"", ""disease state: diabetic kidney disease (DKD)""], ""contact_address"": [""1300 Morris Park Ave""], ""contact_city"": [""Bronx""], ""contact_country"": [""USA""], ""contact_email"": [""kworonie@gmail.com""], ""contact_institute"": [""AECOM""], ""contact_laboratory"": [""Susztak""], ""contact_name"": [""Karolina,,Woroniecka""], ""contact_state"": [""NY""], ""contact_zip/postal_code"": [""10461""], ""data_processing"": [""Data were normalized in GeneSpring GZ software (Agilent) using the RMA16 summarization algorithm. Baseline is the median of all samples.""], ""data_row_count"": [""22277""], ""description"": [""HK187T"", ""KS1-HG_U133A_2-7682""], ""extract_protocol_ch1"": [""1mm x 1mm biopsy tissues were placed under an Olympus model SZX12 stereomicroscope using 90x magnification. The biopsy tissue was manually microdissected at 4C in RNALater for glomerular and tubular compartments using fine tip forceps. In general, 5 glomeruli that readily released from the capsule were collected and placed into cold RLT solution (Qiagen RNeasey kit). The corresponding tubulointerstitial and vascular compartment was placed into RLT solution also. For easier designation we called this component tubules. Dissected tissue was homogenized using a Powergen125 (Fisher) homogenizer and stored at -80C. RNA was prepared using RNAeasy mini columns (Qiagen) according to manufacterer's instructions. RNA quality and quantity was determined using a Lab-on-Chip Total RNA PicoKit (Agilent BioAnalyzer).""], ""geo_accession"": [""GSM757023""], ""hyb_protocol"": [""Biotinylated cRNA was hybridized onto Affymetrix Human Genome U133A 2.0 Arrays (Affymetrix, USA).""], ""label_ch1"": [""Biotin""], ""label_protocol_ch1"": [""Labeling was performed using the Two-Cycle Target Labeling Kit (Affymetrix) as per the manufacturer's protocol. The GeneChip IVT labeling kit performed the final in vitro transcription reaction to produce biotinylated cRNA for the microarray.""], ""last_update_date"": [""Aug 03 2011""], ""molecule_ch1"": [""total RNA""], ""organism_ch1"": [""Homo sapiens""], ""platform_id"": [""GPL571""], ""scan_protocol"": [""The data were scanned using a GeneChip scanner in accordance with the Affymetrix protocol.""], ""series_id"": [""GSE30122"", ""GSE30529""], ""source_name_ch1"": [""Tubuli of DKD kidney""], ""status"": [""Public on Aug 03 2011""], ""submission_date"": [""Jul 08 2011""], ""supplementary_file"": [""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM757nnn/GSM757023/suppl/GSM757023_KS1-HG_U133A_2-7682.CEL.gz""], ""taxid_ch1"": [""9606""], ""title"": [""Diabetic Human Kidney 187, Tubuli""], ""type"": [""RNA""]}"
