accession,title,release_date,query_ids,human_signal,renal_signal,disease_signal,kidney_tissue_signal,experimental_only_signal,priority_screen,geo_equivalent,database_duplicate_of_GEO,content
E-GEOD-1009,Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy,2004-04-01,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE1009,True,E-GEOD-1009 Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy transcription profiling by array EFO EFO_0002768 Homo sapiens Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy Keywords = Diabetes Keywords = kidney Keywords
E-GEOD-104948,Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors,2018-01-24,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE104948,True,", Lindenmeyer MT, Ju W, Greene CS, Godfrey B, Cohen CD, Krischer J, Kretzler M, Merkel PA, Vasculitis Clinical Research Consortium, the European Renal cDNA Bank cohort, and the Nephrotic Syndrome Study Network. 10.1136/annrheumdis-2017-212935 DOI 196 disease diabetic nephropathy lipoid nephrosis hypertensive"
E-GEOD-104954,Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies.,2018-01-24,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE104954,True," normal membranous glomerulonephritis hypertensive renal disease Anti-neutrophil cytoplasmic antibody-associated vasculitis focal segmental glomerulosclerosis and lipoid nephrosis Basement membrane disease diabetic nephropathy systemic lupus erythematosus IGA glomerulonephritis 17 ""GSM2810894"
E-GEOD-19251,KKTa_isolated glomeruli,2010-12-01,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE19251,True,"E-GEOD-19251 KKTa_isolated glomeruli transcription profiling by array EFO EFO_0002768 Mus musculus High dietary fat intake is a major risk factor for the development of obesity, which is frequently associated with diabetes. To identify genes involved in diabetic nephropathy, GeneChip Expression"
E-GEOD-20067,Genome wide DNA methylation profiling of diabetic nephropathy in type 1 diabetes mellitus,2010-05-07,AE_Q1;AE_Q2,True,False,True,False,False,False,GSE20067,True,"E-GEOD-20067 Genome wide DNA methylation profiling of diabetic nephropathy in type 1 diabetes mellitus methylation profiling by array EFO EFO_0002759 Homo sapiens The Illumina Infinium 27k Human DNA methylation Beadchip v1.2 was used to obtain DNA methylation profiles across approximately 27,000"
E-GEOD-20636,Expression data from OVE26 diabetic mouse kidney,2010-04-06,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE20636,True," diabetic nephropathy. OVE26 mice induce inflammatory gene expression changes consistent with advanced renal disease, associated with severe albuminuria and not reported in any other diabetic models. They provide the first opportunity in a model of diabetic nephropathy to assess the effect"
E-GEOD-20844,Differential Expression of Ove26(Diabetic) vs FVB(Nondiabetic) mice,2011-02-22,AE_Q1;AE_Q2,True,True,True,False,True,False,GSE20844,True," the early structural changes in the glomerulus associated with diabetic nephropathy (DN).  To overcome limitations of mouse models that lack the progressive glomerulosclerosis observed in humans, we studied the contribution of RAGE to DN in the OVE26 type 1 mouse, a model of progressive"
E-GEOD-21324,Gene expression profiles of the diabetic glomerular endothelial cell,2010-08-16,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE21324,True,".  We utilized Tie2-GFP transgenic mice to mark cells of the glomerular endothelium.  To induce diabetic nephropathy (DB), a genetic model of DB, BKS.Cg-m +/+ Leprdb/J from Jax laboratories was used.  We utilized fluorescent activated cell sorting (FACS) to isolate glomerular endothelial cells from"
E-GEOD-21327,Effect of Growth hormone on podocytes,2010-10-01,AE_Q1;AE_Q2,False,True,True,True,False,False,GSE21327,True," Drive, D1205 MPB, Ann Arbor, MI, USA Growth hormone (GH)-dependent expression of a natural antisense transcript induces zinc finger E-box-binding homeobox 2 (ZEB2) in the glomerular podocyte: a novel action of gh with implications for the pathogenesis of diabetic nephropathy. Kumar PA, Kotlyarevska K"
E-GEOD-21390,Gene expression analysis of diabetic kidney cortices obtained from ICAM-1 deficient mice and wild type mice.,2014-10-08,AE_Q1;AE_Q2,False,True,True,False,True,False,GSE21390,True,"E-GEOD-21390 Gene expression analysis of diabetic kidney cortices obtained from ICAM-1 deficient mice and wild type mice. transcription profiling by array EFO EFO_0002768 Mus musculus In the present study, we aimed to determine the genes involved in inflammatory process of diabetic nephropathy.  ICAM-1"
