accession,title,release_date,query_ids,human_signal,renal_signal,disease_signal,kidney_tissue_signal,experimental_only_signal,priority_screen,geo_equivalent,database_duplicate_of_GEO,content
E-GEOD-1009,Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy,2004-04-01,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE1009,True,E-GEOD-1009 Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy transcription profiling by array EFO EFO_0002768 Homo sapiens Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy Keywords = Diabetes Keywords = kidney Keywords
E-GEOD-21785,Systematic analysis of a human renal transcript dataset,2010-07-19,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE21785,True," associated differential mRNA regulation of ROBO2 was found in diabetic nephropathy.  In summary, using a comparative strategy on microdissected nephrons novel transcripts with predominant expression in the human glomerulus could be identified.  A systematic analysis of this glomerulus-specifc gene"
E-GEOD-30122,Transcriptome Analysis of Human Diabetic Kidney Disease,2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30122,True,E-GEOD-30122 Transcriptome Analysis of Human Diabetic Kidney Disease transcription profiling by array EFO EFO_0002768 Homo sapiens This SuperSeries is composed of the following subset Series: GSE30528: Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli
E-GEOD-30528,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli),2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30528,True,"E-GEOD-30528 Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Glomeruli vs. Control Glomeruli) transcription profiling by array EFO EFO_0002768 Homo sapiens We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly"
E-GEOD-30529,Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Tubuli vs. Control Tubuli),2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30529,True,"E-GEOD-30529 Transcriptome Analysis of Human Diabetic Kidney Disease (DKD Tubuli vs. Control Tubuli) transcription profiling by array EFO EFO_0002768 Homo sapiens We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly"
E-GEOD-30566,Transcriptome Analysis of Human Diabetic Kidney Disease (Control Glomeruli vs. Control Tubuli),2011-08-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE30566,True,"E-GEOD-30566 Transcriptome Analysis of Human Diabetic Kidney Disease (Control Glomeruli vs. Control Tubuli) transcription profiling by array EFO EFO_0002768 Homo sapiens We identified 1,700 differentially expressed probesets in DKD glomeruli and 1,831 in diabetic tubuli; 330 probesets were commonly"
E-GEOD-32553,To investigate how the glycosylation of podocyte proteins changes during diabetic kidney disease,2011-10-02,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE32553,True,E-GEOD-32553 To investigate how the glycosylation of podocyte proteins changes during diabetic kidney disease transcription profiling by array EFO EFO_0002768 Homo sapiens Podocytes are cells of the visceral epithelium in the kidneys and form a crucial component of the glomerular filtration barrier
E-GEOD-46900,Cyclodextrin protects podocytes in diabetic kidney disease.,2013-07-11,AE_Q1;AE_Q2,True,True,True,False,False,True,GSE46900,True,E-GEOD-46900 Cyclodextrin protects podocytes in diabetic kidney disease. transcription profiling by array EFO EFO_0002768 Homo sapiens This SuperSeries is composed of the SubSeries listed below. Refer to individual Series P-GSE46900-1 normalization data transformation protocol The data were
E-GEOD-47183,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (glomeruli),2013-08-06,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE47183,True," Arbor, USA 122 DISEASE STATUS disease status Thin Membrane Disease focal segmental glomerulosclerosis Focal and Segmental Glomerulosclerosis and Minimal Change Disease Rapidly progressive glomerulonephritis membranous glomerulonephritis Minimal Change Disease diabetic nephropathy Tumor Nephrectomy 17"
E-GEOD-47184,In silico nano-dissection: defining cell type specificity at transcriptional level in human disease (tubulointerstitium),2013-08-06,AE_Q1;AE_Q2,True,True,True,True,False,True,GSE47184,True," Dr., Ann Arbor, USA 107 DISEASE STATUS disease status IGA Nephropathy Tumor Nephrectomy Hypertensive nephropathy Thin Membrane Disease Rapidly progressive glomerulonephritis Minimal Change Disease diabetic nephropathy not specified Focal and Segmental Glomerulosclerosis and�Minimal Change Disease"
