uid,accession,title,summary,organism,entry_type,gds_type,platform_ids,publication_date,n_samples,pubmed_ids,bioproject,ftp_link,matched_queries,priority_screen,priority_reason,final_decision,final_exclusion_reason
200100185,GSE100185,Sirt6 Deficiency Exacerbates Podocyte Injury and Proteinuria through Targeting Notch Signaling,"Podocyte injury is a major determinant in proteinuric kidney disease and identification of potential therapeutic targets for preventing podocyte injury has clinical importance. Here, we show that histone deacetylase Sirt6 protects against podocyte injury through epigenetic regulation of Notch signaling. Sirt6 is downregulated in renal biopsies from patients with podocytopathies and its expression negatively correlates withglomerular filtration rate. Podocyte-specific deletion of Sirt6 exacerbates podocyte injury and proteinuria in two independent mouse models including diabetic nephropathy and adriamycin-induced nephropathy. Sirt6 has pleiotropic protective actions in podocytes including anti-inflammatory and anti-apoptotic effects, is involved in actin cytoskeleton maintenance, and promotes autophagy. Sirt6 also reduces urokinase plasminogen activator receptor expression, which is a key factor for podocyte foot process effacement and proteinuria. Mechanistically, Sirt6 inhibits Notch1 and Notch4 transcription by deacetylating the histone H3K9. We suggest Sirt6 as a potential therapeutic target in proteinuric kidney disease.",Homo sapiens,GSE,Expression profiling by array,6480,2017/06/20,4,28871079,PRJNA390937,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100185/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200001009,GSE1009,Diabetic nephropathy,Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy Keywords = Diabetes Keywords = kidney Keywords = glomeruli Keywords: other,Homo sapiens,GSE,Expression profiling by array,8300,2004/04/01,6,15042541,PRJNA87073,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1009/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200104948,GSE104948,Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors,"summary : Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors. Samples included in this analysis have been previously analyzed using older CDF definitions and are included under previous GEO submissions - GSE47183 (chronic kidney disease samples), and GSE32591 (IgA nephropathy samples).  ",Homo sapiens,GSE,Expression profiling by array,24120;22945,2018/01/24,196,29724730;40059827,PRJNA414218,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104948/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,disease wording not explicit,PENDING_HUMAN_REVIEW,
200104954,GSE104954,Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies.,"summary : Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies. Samples included in this analysis have been previously analyzed using older CDF definitions and are included under previous GEO submissions - GSE47184 (chronic kidney disease samples), and GSE32591 (IgA nephropathy samples).  ",Homo sapiens,GSE,Expression profiling by array,22945;24120,2018/01/24,195,29724730;40059827,PRJNA414229,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104954/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,disease wording not explicit,PENDING_HUMAN_REVIEW,
200106902,GSE106902,DNA methylation profiling of genomic DNA isolated from urine in Diabetic Chronic-Kidney Disease: a pilot study,"Genome wide DNA methylation profiling of urine and blood samples from patients with diabetic chronic kidney disease. The Illumina Infinium MethylationEPIC BeadChip kit was used to obtain DNA methylation profiles across approximately 850,000 CpGs. Samples included two urine and four buffy coat samples from adults with diabetic chronic kidney disease.",Homo sapiens,GSE,Methylation profiling by genome tiling array,23976,2017/11/16,6,29462136,PRJNA418411,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106902/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200107375,GSE107375,High-resolution map of copy number variations in motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients by using a customized exon-centric comparative genomic hybridization array.,"Amyotrophic lateral sclerosis (ALS) is an incurable and fatal neurodegenerative disease. Increasing the chances of success for future clinical strategies requires more in-depth knowledge of the molecular basis underlying disease heterogeneity. We recently laid the foundation for a molecular taxonomy of ALS by whole transcriptome expression profiling of motor cortex from sporadic ALS (SALS) patients. Here, we analyzed genomic structural aberrations occurring in the same patients, by using a customized exon-centered comparative genomic hybridization array (aCGH) covering a large panel of ALS-related genes. Integrative analysis of copy number profiles with their associated transcriptomic data revealed subtype-specific genomic perturbations and candidate driver genes positively correlated with transcriptional signatures, which might represent novel potential biomarkers and therapeutic targets. This study represents the first comprehensive “omics” analysis of molecular events characterizing SALS pathology, providing a road map to facilitate genome-guided personalized diagnosis and treatments for this devastating disease.",Homo sapiens,GSE,Genome variation profiling by array,24311,2018/12/31,40,31292500,PRJNA419922,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107375/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200110786,GSE110786,Preeclamptic placentae release factors that damage neurons in vitro,"Prenatal development is a critical period for programming of neurological disease. Preeclampsia, a pregnancy complication involving oxidative stress in the placenta, has been associated with long-term health implications for the child, including an increased risk of developing schizophrenia and autism spectrum disorders in later life. We have shown previously, in a rodent model of placental oxidative stress, that culture medium conditioned by the placenta alters neuronal characteristics when applied to primary cortical cultures in vitro and mimics many of the neurodevelopmental changes observed in the offspring brain. To further investigate if molecules released by the placenta may be important mediators in foetal programming of the brain, we analysed if placental tissue delivered from patients with preeclampsia secreted molecules that could affect cortical cells in culture. Application of culture medium conditioned by preeclamptic placentae to mixed cortical cultures caused changes in neurons and astrocytes that were related to key changes observed in brains of patients with schizophrenia and autism, including effects on dendrite lengths, astrocyte number as well as glutamate and GABA receptors. Treatment of the placental explants with an antioxidant prevented neuronal abnormalities. Furthermore, we identified that bidirectional communication between neurons and astrocytes, potentially via glutamate, is required to produce the effects of preeclamptic placenta medium on cortical cells. Analysis of possible signalling molecules in the placenta conditioned medium showed that the secretion profile of extracellular microRNA, small posttranscriptional regulators, was altered in preeclampsia and partially rescued by antioxidant treatment of the placental explants. Predicted targets of these differentially abundant microRNAs were linked to neurodevelopment and the placenta. The presented study provides further evidence that the diseased placenta may release factors that damage cortical cells in the brain and suggests the possibility of targeted antioxidant treatment of the placenta to prevent neurodevelopmental disorders.",Homo sapiens,GSE,Other,24452,2019/02/11,23,32714596,PRJNA434556,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110786/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200111154,GSE111154,RNA Expression data for early diabetic nephropathy (EDN),"There is a temporal window from the time diabetes is diagnosed to the appearance of overt kidney disease during which time the disease progresses quietly without detection.  Currently, there is no way to detect early diabetic nephropathy (EDN). Here we performed an unbiased assessment of gene-expression analysis of postmortem human kidneys using microarrays to identify candidate genes that may contribute to EDN.",Homo sapiens,GSE,Expression profiling by array,17586,2018/07/03,8,30253844,PRJNA436020,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111154/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
200114477,GSE114477,"Association of Elevated Urinary miR-126, miR-155 and miR-29b with Diabetic Kidney Disease",TaqMan®Array  Human  MicroRNA  Cards  were used to profile the differential expression of human microRNAs in patients with CKD versus heathy controls,Homo sapiens,GSE,Expression profiling by RT-PCR,15634,2018/06/16,8,29981742;34389752,PRJNA471530,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114477/,Q1_disease_phrases;Q2_broad_diabetes_kidney,False,renal tissue wording not explicit; not a bulk-expression GEO type,PENDING_HUMAN_REVIEW,
200114569,GSE114569,Cellular recruitment by podocyte-derived pro-migratory factors in assembly of the human renal filter,"Analysis of monogenic kidney disease-causing genes, and secondary pathology resulting from systemic diseases including diabetes and hypertension, highlight the importance of the kidney’s filtering system, the renal corpuscles. To elucidate the developmental processes that establish the renal corpuscle, we employed single-nucleus droplet-based sequencing to capture single nuclei from the human fetal kidney. This enabled the identification of distinct cell types of the nephron (podocytes), interstitial (mesangial cells) and vascular (glomerulus) lineages that together generate the renal corpuscles. Computational trajectory analysis identified transient gene expression in the development of these cell types, predicting early precursors or mature podocytes express FBLN2, BMP4 or NTN4, in conjunction with recruitment, differentiation, and modeling of vascular and mesangial cell types into a functional filter. In vitro studies provide evidence these factors exhibit angiogenic or mesangial recruiting and inductive properties consistent with a key organizing role for podocyte precursors in kidney development. Together these studies define a spatiotemporal developmental program for the primary filtration unit of the human kidney and provide novel insights into cell interactions regulating co-assembly of constituent cell types.  ",Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2019/10/03,17,31622881,PRJNA471814,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114569/,Q2_broad_diabetes_kidney,False,disease wording not explicit; renal tissue wording not explicit,PENDING_HUMAN_REVIEW,
