uid,accession,title,summary,organism,entry_type,gds_type,platform_ids,publication_date,n_samples,pubmed_ids,bioproject,ftp_link,matched_queries,priority_screen,priority_reason,final_decision,final_exclusion_reason
200100185,GSE100185,Sirt6 Deficiency Exacerbates Podocyte Injury and Proteinuria through Targeting Notch Signaling,"Podocyte injury is a major determinant in proteinuric kidney disease and identification of potential therapeutic targets for preventing podocyte injury has clinical importance. Here, we show that histone deacetylase Sirt6 protects against podocyte injury through epigenetic regulation of Notch signaling. Sirt6 is downregulated in renal biopsies from patients with podocytopathies and its expression negatively correlates withglomerular filtration rate. Podocyte-specific deletion of Sirt6 exacerbates podocyte injury and proteinuria in two independent mouse models including diabetic nephropathy and adriamycin-induced nephropathy. Sirt6 has pleiotropic protective actions in podocytes including anti-inflammatory and anti-apoptotic effects, is involved in actin cytoskeleton maintenance, and promotes autophagy. Sirt6 also reduces urokinase plasminogen activator receptor expression, which is a key factor for podocyte foot process effacement and proteinuria. Mechanistically, Sirt6 inhibits Notch1 and Notch4 transcription by deacetylating the histone H3K9. We suggest Sirt6 as a potential therapeutic target in proteinuric kidney disease.",Homo sapiens,GSE,Expression profiling by array,6480,2017/06/20,4,28871079,PRJNA390937,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100185/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200001009,GSE1009,Diabetic nephropathy,Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy Keywords = Diabetes Keywords = kidney Keywords = glomeruli Keywords: other,Homo sapiens,GSE,Expression profiling by array,8300,2004/04/01,6,15042541,PRJNA87073,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1009/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200140308,GSE140308,Genomewide transcriptional analysis of growth hormone-treated human podocytes,"The growth hormone plays a significant role in normal renal function and overactive growth hormone signaling has been implicated in proteinuria in diabetes. Earlier studies from our group have shown that the glomerular podocytes, which play an essential role in renal filtration, express the growth hormone receptor, suggesting the direct action of growth hormone on these cells. Nevertheless, the precise mechanism and the downstream pathways that are induced by the excess growth hormone in these podocytes leading to diabetic nephropathy are not clearly established. To compressively understand the growth hormone’s effect on podocytes at transcript level we performed RNA-Sequencing. Conditionally immortalized human podocytes were employed in this study.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2020/08/28,4,,PRJNA589266,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140308/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200142025,GSE142025,Comparison of Kidney Transcriptomic Profiles of Early and Advanced Diabetic Nephropathy Reveals Potential New Mechanisms for Disease Progression,"To identify the factors mediating the progression of di- abetic nephropathy (DN), we performed RNA sequencing of kidney biopsy samples from patients with early DN, advanced DN, and normal kidney tissue from nephrectomy samples. A set of genes that were upregulated at early but downregulated in late DN were shown to be largely renoprotective, which included genes in the retinoic acid pathway and glucagon-like peptide 1 receptor. Another group of genes that were downregulated at early but highly upregulated in advanced DN consisted mostly of genes associated with kidney disease pathogenesis, such as those related to immune response and fibrosis. Correlation with estimated glomerular filtration rate (eGFR) identified genes in the pathways of iron transport and cell differentiation to be positively associated with eGFR, while those in the immune response and fibrosis pathways were negatively associated. Correlation with various histopathological features also identified the association with the distinct gene ontological pathways. Deconvolution analysis of the RNA sequencing data set indicated a significant increase in monocytes, fibroblasts, and myofibroblasts in advanced DN kidneys. Our study thus provides potential molecular mechanisms for DN progression and association of differential gene expression with the functional and structural changes observed in patients with early and advanced DN.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,20301,2019/12/14,36,31578193;32086290,PRJNA595590,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142025/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200158230,GSE158230,Secretory Leukocyte Peptidase Inhibitor (SLPI) is a Novel Predictor of Tubulointerstitial Injury and Renal Outcome in Patients with Diabetic Nephropathy,"Tubulointerstitial injury plays an important role in diabetic nephropathy (DN) progression; however, no reliable urinary molecule has been used to predict tubulointerstitial injury and renal outcome of DN clinically. In this study, based on tubulointerstitial transcriptome, we identified secretory leukocyte peptidase inhibitor (SLPI) as the molecule associated with renal fibrosis and prognosis of DN. In tubular cells, high glucose could upregulate SLPI, which bound with β-catenin and GSK-3β reciprocally, abolished the interaction between β-catenin and GSK-3β, diminished GSK-3β-regulated β-catenin phosphorylation and the subsequent ubiquitination and degradation, thus led to β-catenin signaling activation and renal fibrosis. Db/db mice injected with adenovirus carrying Slpi-3xflag-GFP (Ad-Slpi-GFP) developed β-catenin signaling activation in the proximal tubule, worse albuminuria and tubulointerstitial fibrosis. Conversely, Slpi knockout (KO) mice with STZ-induced DN developed less albuminuria, tubulointerstitial fibrosis and β-catenin signaling activation. Furthermore, clinical studies showed that urinary SLPI protein level (uSLPI/Cr) had significant correlation with intrarenal SLPI mRNA and interstitial fibrosis. In an independent prospective cohort enrolled 711 patients with biopsy proven DN, uSLPI/Cr level was significantly associated with eGFR slope and improved the prediction value of renal outcome. Together, our study identified SLPI as a novel critical regulator for the progression of tubulointerstitial injury, which may be used as an independent risk predictor of DN progression.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2022/08/03,6,35910382,PRJNA664391,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158230/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200158626,GSE158626,Targeting Set7 in an experimental model of diabetic nephropathy,"Set7 knockout (Set7KO) improved glomerular structure and albuminuria in a mouse model of diabetes. Analysis of mouse single-cell RNA-sequencing data showed dynamic transcriptional changes in diabetic renal cells. Set7KO controls phenotype switching of GEN cell populations through transcriptional regulation of the insulin growth factor binding protein 5 (IGFBP5). Chromatin immunoprecipitation assays confirmed that the expression of the IGFBP5 gene was associated with mono- and dimethylation of histone H3 lysine 4 (H3K4me1/2). This generalizability was investigated in human renal and circulating hyperglycemic cells exposed to TGFb1. We showed that the highly selective Set7 inhibitor PFI-2 attenuated indices associated with renal cell damage and mesenchymal transition, specifically (1) reactive oxygen species production, (2) IGFBP5 gene regulation, and (3) expression of mesenchymal markers. Furthermore, renal benefit observed in Set7KO diabetic mice closely corresponds in human glomerular endothelial cells with PFI-2 inhibition or Set7 shRNA silencing.",Mus musculus; Homo sapiens,GSE,Expression profiling by high throughput sequencing,24676;21103,2024/04/17,28,38630537,PRJNA666001,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158626/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200163603,GSE163603,Transcriptomic Signatures of Kidney Injury in Human Renal Biopsy Specimens,"The gene expression signature of the human kidney interstitium is not fully understood. Transcript expression of laser microdissected cortical interstitium (excluding tubules, glomeruli and large vessels) in 9 human reference nephrectomies was compared to 6 human diabetic kidney biopsy specimens. This transcriptomic data revealed novel interstitial markers and enrichment of relevant pathways. Analysis of diabetic interstitium uncovered genes with unchanged as well as down-regulated expression when compared to reference samples. Laser microdissection (LMD) methodology enables collection of transcriptomic data associated with renal interstitium to aid in interpretation of pathophysiology and precision medicine studies.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,16791,2020/12/22,66,33568476;35675394,PRJNA686939,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163603/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200166239,GSE166239,Partial epithelial-to-mesenchymal transition (EMT) and T cell-mediated inflammation in hypertensive and diabetic nephropathy,"We comparatively evaluated transcriptomes from renal biopsies obtained from patients with T2DN or HN, main causes of CKD, and control renal tissues (n=6 per group). RNA was extracted from formalin-fixed and paraffin-embedded kidney samples and processed for RNA sequencing. Principal component analysis effectively separated diseased and control tissues. Gene and protein expression profiles revealed that EMT-related markers were upregulated in both diseases. Moreover, activation of CD4 and CD lymphocytes, as well as upregulation of the complement system were also observed in both T2DN and HN. These data, suggesting partially common pathogenetic mechanisms, were largely confirmed by IHC analysis.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,18573,2023/12/01,18,37813528,PRJNA699758,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166239/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200182138,GSE182138,Transcriptome analysis and weighted gene co-expression network reveal candidate genes and pathways responses to lactate dehydrogenase inhibition (oxamate) in hyperglycemic human renal proximal epithelial tubular cells,"Diabetic kidney disease (DKD) is the leading cause of both chronic kidney disease (CKD) and end-stage renal disease (ESRD). In this study, we performed transcriptome gene expression profiling of kidney tissues in human renal proximal epithelial tubular cell line (HK-2) treated with high D-glucose (HG) for 7 days before the addition of 40 mM oxamate for a further 24 hours in the presence of HG. Afterwards, we analyzed the differentially expressed (DE) genes and investigated gene relationships based on weighted gene co-expression network analysis (WGCNA). Accordingly, enrichment analyses of GO terms and KEGG pathways showed that several pathways (e.g., lysosome (hsa04142) and p53 signaling pathway (hsa04115)) may be involved in a response of HK-2 cells to oxamate. Moreover, via WGCNA, we identified two modules: both the turquoise and blue modules were enriched in pathways associated with lysosome. However, the P53 signaling pathway was only found using all 3,884 DE genes. Furthermore, the key hub genes IGFBP3 interacted with 6 up-regulated and 12 down-regulated DE genes in the network that were enriched in the P53 signaling pathway. This is the first study reporting co-expression patterns of a gene network after lactate dehydrogenase inhibition in HK-2 cells. Our results may contribute to our understanding of the underlying molecular mechanism of in vitro reprogramming under hyperglycemic stress that orchestrates the survival and functions of HK-2 cells.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,20795,2022/03/31,5,35370938,PRJNA754770,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182138/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
200189875,GSE189875,Neutrophil extracellular traps induce glomerular endothelial cell dysfunction and pyroptosis in diabetic kidney disease,"Diabetic kidney disease (DKD) is the leading cause of end-stage renal disease. Neutrophil extracellular traps (NETs) are a network structure composed of loose chromatin and embedded with multiple proteins. Here, we observed increased NETs deposition in the glomeruli of DKD patients and diabetic mice (streptozotocin-induced or db/db mice). After degrading NETs with DNase I, diabetic mice exhibited attenuated glomerulopathy and glomerular endothelial cell (GEC) injury. We also observed alleviated glomerulopathy and GEC injury in peptidylarginine deiminase 4 (PAD4)-knockout mice with streptozotocin-induced diabetes. In vitro, NET-induced GEC pyroptosis was characterized by pore formation in the cell membrane, dysregulation of multiple genes involved in cell membrane function, and high expression of pyroptosis-related proteins. Strengthening the GEC surface charge by oleylamine significantly inhibited NET-induced GEC pyroptosis. These results indicate that NET-induced alterations in GEC charge are associated with GEC pyroptosis in the pathogenesis of DKD and suggest that NETs are a potential therapeutic target for DKD.",Homo sapiens,GSE,Expression profiling by high throughput sequencing,20795,2022/09/01,10,,PRJNA784943,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189875/,Q1_disease_phrases;Q2_broad_diabetes_kidney,True,priority human review,PENDING_HUMAN_REVIEW,
