accession,title,summary,organism,gds_type,n_samples,already_in_primary_geo_union,priority_screen
GSE1009,Diabetic nephropathy,Gene expression profiling in glomeruli from human kidneys with diabetic nephropathy Keywords = Diabetes Keywords = kidney Keywords = glomeruli Keywords: other,Homo sapiens,Expression profiling by array,6,True,True
GSE4713,Transcriptome changes in Emericella nidulans due to oxidative stress - normalized experimental data (flip-flop),We examined the transcriptional changes observable under oxidative stress caused by menadione in Emericella nidulans. Keywords: time-course,Aspergillus nidulans,Expression profiling by array,2,False,False
GSE7869,Expression data from renal cysts of autosomal dominant polycystic kidney disease (ADPKD) patients,To elucidate the molecular pathways that modulate renal cyst growth in autosomal dominant polycystic kidney disease (ADPKD) Keywords: Disease state analysis,Homo sapiens,Expression profiling by array,21,False,False
GSE13535,Rat lung gene expression during acute pulmonary embolism,Rats were given pulmonary embolism by i.v. injection of 25 micron polystyrene microspheres or 0.01% Tween20 solution as vehicle control Embolism of microspheres is irreversible and causes dose dependent pulmonary hypertension  Keywords: time course and dose response,Rattus norvegicus,Expression profiling by array,22,False,False
GSE14202,Effects of calorie restriction and exercise on mammary gland gene expression in C57BL/6 mice,"We performed a factorial experiment examining the effects of calorie restriction (CR) and exercise (EX) in mice.  CR mice received 70% of calories but 100% of all other nutrients compared to AL mice.  Food consumption, weight gain, and physical activity levels were recorded for 6 weeks. Diet and exercise treatments, both alone and in combination, had significant effects on body composition and levels of physical activity.  Affymetrix oligo microarrays were used to determine global gene expression patterns in mammary gland total RNA. CR and EX had some overlapping but primarily unique effects on mammary gene expression, with CR affecting a much larger number of genes.  The gene changes presented suggest that CR and EX influence mammary gland development and potentially carcinogenesis through distinct pathways.  Keywords: 2 X 2 factorial mouse experiment; ad lib; calorie restriction; exercise; exercise + calorie restriction. Endpoints: body composition; bone density; gene expression in mammary gland",Mus musculus,Expression profiling by array,37,False,False
GSE21785,Systematic analysis of a human renal transcript dataset,"Glomerular diseases account for the majority of cases with chronic renal failure. Several genes have been identified with key relevance for glomerular function. Quite a few of these genes show a specific or preferential mRNA expression in the renal glomerulus. To identify additional candidate genes involved in glomerular function in humans we generated a human renal glomerulus-specific transcript dataset (GTD) by comparing gene expression profiles from human glomeruli and tubulointerstitium obtained from six transplant living donors using Affymetrix HG-U133A arrays. This analysis resulted in 677 genes with prominent overrepresentation in the glomerulus. Genes with ‘a prior’i established known prominent glomerular expression served for validation and were all found in the novel expression library (e.g. CDKN1, DAG1, DDN, EHD3, MYH9, NES, NPHS1, NPHS2, PDPN, PLA2R1, PLCE1, PODXL, PTPRO, SYNPO, TCF21, TJP1, WT1). The mRNA expression for several novel glomerulus-enriched genes identified in REGGEL was validated by qRT-PCR. Gene ontology and pathway analysis identified biological processes previously not reported to be of relevance in glomeruli including among others axon guidance. This finding was further validated by assessing the expression of the axon guidance molecules neuritin (NRN1) and roundabout receptor ROBO1 and -2. Glomerular disease associated differential mRNA regulation of ROBO2 was found in diabetic nephropathy.  In summary, using a comparative strategy on microdissected nephrons novel transcripts with predominant expression in the human glomerulus could be identified.  A systematic analysis of this glomerulus-specifc gene expression library allows the detection of target molecules and biological processes involved in glomerular biology and renal disease.",Homo sapiens,Expression profiling by array,12,True,True
GSE23343,Expression data from human liver with or without type 2 diabetes,"The liver may regulate glucose homeostasis by modulating the sensitivity/resistance of peripheral tissues to insulin, by way of the production of secreted proteins, termed hepatokines. To identify hepatic secretory proteins involved in insulin resistance, we performed liver biopsies in humans with or without type 2 diabetes and conducted a comprehensive analysis of gene expression profiles.",Homo sapiens,Expression profiling by array,17,False,False
GSE27999,Gene Expression Analysis of mouse kidney at the developmental day 15 under iron deficient diet,"While it is clear that iron deficiency affects both human and rodent development, and particularly kidney development, the precise pathological changes that occur with iron deficiency have not been distinguished. For example, it is not clear which compartment of the kidney is predominantly affected nor it is clear either which stage of development or which cell type require the most iron. In this study, we used an in vivo mouse model of iron deficiency in order to better understand the targeting of iron in the developing kidney.",Mus musculus,Expression profiling by array,4,False,False
GSE28829,Gene Expression in early and advanced atherosclerotic plaque from human carotid,The objective of this study is to identify genes and pathways involved in the progression of atherosclerotic plaques from early to advanced stage in humans.,Homo sapiens,Expression profiling by array,29,False,False
GSE29226,Global Gene Expression Profiles of Subcutaneous Adipose in Females with Type 2 Diabetes.,"Gene expression profiles of biopsy samples of subcutaneous adipose of three female patients of type 2 diabetes and three non-diabetic female patients were generated using Illumina HumanHT-12 v3 Expression BeadChip arrays.  The primary indications of surgery were non-infective and non-malignant conditions, namely, cholelethiasis, hernia and trauma.",Homo sapiens,Expression profiling by array,24,False,False
