pmid,year,journal,title,doi,query_ids,repository_accessions_in_title_or_abstract,abstract
1992766,1991,The American journal of pathology,Differential expression of basement membrane collagen chains in diabetic nephropathy.,,PM_Q1,,"Diabetic nephropathy is characterized by progressive expansion of mesangial matrix and thickening of the glomerular basement membrane (GBM). Kidney tissues from 13 patients with insulin-dependent diabetes mellitus were studied by immunohistochemical techniques for the distribution of three recently described collagen peptides (M28+, M28 [Good-pasture antigen], and Alport antigen) and various components of classical type IV collagen [alpha 1(IV) noncollagenous (NC) globular domain, alpha 2(IV) NC, 7S, triple helix]. Recently M28 and M28+ were designated as NC monomers of alpha 3(IV) and alpha 4(IV) based on limited amino acid sequencing. During the course of the disease, the distribution of the M28 chains and the Alport peptide segregated completely from that of classical type IV collagen. In diabetic kidneys, antibodies to the M28 and Alport peptides reacted intensely with the thickened GBM but not with the mesangium. In contrast, the reactivity of antibodies to various components of classical type IV collagen was prominent within the expanded mesangial matrix with significant decrease in reactivity in the peripheral capillary wall. In hyalinized glomeruli, components of classical type IV collagen virtually disappeared, whereas the M28 and Alport peptides persisted in the collapsed GBM. These studies support the view that expansion of the mesangial matrix and thickening of the GBM involve separate and distinct collagen components. The differential expression of the M28 and Alport peptides compared with that of classical type IV collagen may be a consequence of differing sites of synthesis (classical type IV collagen from endothelial/mesangial cells and M28 and Alport chains from visceral epithelial cells), independent control mechanisms, and/or differences in degradation."
8730436,1996,Nephron,Increased gene expression of insulin-like growth factor-i receptor in experimental diabetic rat glomeruli.,10.1159/000188954,PM_Q1,,"Renal hypertrophy is a characteristic and early manifestation of diabetes in humans and experimental animals. We examined the precise distribution of insulin-like growth factor-I (IGF-I) mRNA and IGF-I receptor mRNA in the experimental diabetic rat kidney using a nonradioactive in situ hybridization technique. No significant difference in the distribution of IGF-I mRNA was found between the diabetic and control rats. IGF-I mRNA-positive cells were found in the collecting ducts and in scattered single cells in the distal tubules. The number of IGF-I mRNA-positive cells was very low in the glomeruli. Expression of IGF-I receptor mRNA was rarely seen in the glomeruli of control rats. IGF-I receptor mRNA was detected after induction of diabetes in glomerular mesangial, visceral epithelial, and parietal epithelial cells. The number of IGF-I receptor mRNA-positive cells in a glomerulus increased significantly, peaking at 4 weeks as compared with the control rats. Overexpression of IGF-I receptor in glomerular cells, especially mesangial and visceral epithelial cells, may contribute to glomerular hypertrophy in diabetic nephropathy."
8785386,1996,Journal of the American Society of Nephrology : JASN,Role of Amadori-modified nonenzymatically glycated serum proteins in the pathogenesis of diabetic nephropathy.,10.1681/ASN.V72183,PM_Q1,,"Accelerated nonenzymatic glycation in diabetes, resulting in Amadori-modified proteins and the later-developing advanced glycation end-products, has been mechanistically linked to the pathogenesis of diabetic nephropathy. Recent focus on putative AGE-induced pathophysiology has shifted attention from the possible role of Amadori-modified proteins in the development of diabetic complications. Ample experimental evidence has demonstrated that Amadori-modified serum proteins adversely affect renal glomerular capillary function, structure, and metabolism. Previous studies from the laboratories of this study's authors have shown that human serum containing diabetic concentrations of albumin modified by Amadori-glucose adducts inhibits the replication of murine mesangial cells in culture and stimulates the production and gene expression of type IV collagen. Monoclonal antibodies (A717) specific for Amadori-glycated albumin prevent these abnormalities. In other studies, it has also been shown that in vivo administration of A717 (Fab fragments) retards the progression of diabetic nephropathy in diabetic db/db mice. Neutralizing the effects of the elevated circulating glycated albumin concentration is associated with reduction in proteinuria and mesangial matrix expansion, and prevention of the overexpression of mRNA encoding type IV collagen and fibronectin in the renal cortex. The renoprotective effects of A717 are independent of any change in blood glucose concentrations. These studies implicate Amadori-modified glycated albumin in the pathogenesis of diabetic nephropathy. It is proposed in this study that abrogating the biologic effects of increased glycated albumin in diabetes has novel therapeutic potential in the management of diabetic renal complications."
8995714,1997,Kidney international,Nonenzymatically glycated albumin (Amadori adducts) enhances nitric oxide synthase activity and gene expression in endothelial cells.,10.1038/ki.1997.4,PM_Q1,,"Hyperglycemia is considered to induce diabetic nephropathy through nonenzymatic glycation of proteins. Since hyperfiltration is likely to be the mechanism initiating the glomerular lesions, we investigated the effects of Amadori glucose adducts in serum albumin on the production of vasoactive mediators, including nitric oxide (NO) and eicosanoids, by endothelial cells (EC). Amadori adducts of glycated albumin induced a dose-response increase in NO synthase activity of murine endothelioma cells, up to 16.4 +/- 2.1-fold increase of basal values (P < 0.0001) at concentrations of 35 mg/ml mimicking physiological serum albumin concentration, and 4.6 +/- 0.8-fold increase at 17 mg/ml (P < 0.001). The effect was still detectable with glycated albumin 1.7 mg/ml, which approaches its estimated concentration in diabetic serum (1.6 +/- 0.3-fold increase, P < 0.05) The phenomenon was reproducible in human umbilical vein endothelial cells, though to a lesser extent, and further studies on murine EC were employed. The mRNA encoding for inducible NO synthase was overexpressed in EC incubated with Amadori adducts of glycated albumin in comparison to native albumin. Glycated albumin induced increased mRNA expression and synthesis of TNF-alpha. The stimulatory effect induced by glycated albumin on NO synthase activity was almost completely inhibited by anti TNF alpha antibodies. 3H-thymidine incorporation by EC was significantly inhibited when cells were grown in presence of glycated albumin (P < 0.001), and the phenomenon was abolished by the coincubation of the NO competitive inhibitor L-NAME. The early glycosylation products increased thromboxane production (P < 0.001), while prostaglandin E2 synthesis was unaffected. These data indicate that Amadori products of glycated albumin modulate NO synthase activity and eicosanoid balance in EC. These effects may be relevant to the hemodynamic changes in the early phases of diabetic nephropathy and in the lasting progression to sclerosis."
9044309,1996,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Diabetic nephropathy: molecular analysis of extracellular matrix and clinical studies update.,10.1093/ndt/11.supp5.58,PM_Q1,,"Progressive glomerulosclerosis associated with decreasing kidney function, resulting in end-stage renal failure, is the major finding in diabetic nephropathy. There are multiple components of the extracellular matrix, and neither the exact composition nor the factors responsible for its increase in diabetic nephropathy is known. We examined matrix synthesis and degradation at the level of gene expression and ECM composition, in the glomeruli of diabetic mice transgenic for a mutated bGH and their littermate controls, and in renal biopsies of patients with diabetic nephropathy. We found that streptozotocin-treated C57BL/SJL mice developed histological lesions closely resembling human diabetic glomerulosclerosis, whereas there were no glomerular lesions in diabetic mice transgenic for a growth hormone analogue which competes with native GH and results in dwarfism. We found that diabetic glomerulosclerosis in mice was associated with an increase in type IV collagen and laminin synthesis, and that these changes are selectively inhibited in dwarf mice transgenic for the mutant GH analogue. Preliminary examination of glomeruli isolated from renal biopsies revealed a homogeneous elevation in the alpha 2/alpha 3IV ratio among diabetics. These data suggested that diabetic nephropathy is characterized by modifications in ECM gene regulation in both mouse models and in diabetics, and that GH may promote the susceptibility to this complication. Finally, the data from the Diabetes Control and Complications Trial is updated, emphasizing the importance of close glucose control in the amelioration of an elevated albumin excretion rate as a continuous function of the level of control."
9215310,1997,The Journal of clinical endocrinology and metabolism,Aldose reductase gene expression is increased in diabetic nephropathy.,10.1210/jcem.82.7.4082,PM_Q1,,"Aldose reductase gene expression is increased in insulin-dependent diabetes mellitus (IDDM) with nephropathy. Epidemiology studies in patients with IDDM and noninsulin-dependent diabetes mellitus (NIDDM) are consistent with the hypothesis that a genetic factor(s) influences the risk for kidney disease of diabetes mellitus (KDDM). Aldose reductase (AR), the rate-limiting enzyme in the polyol pathway, is a potential candidate gene product. The present study explored the hypothesis that AR gene expression is increased in peripheral blood mononuclear cells obtained from patients with KDDM. We studied four groups of volunteers: group I, normal subjects; group II, IDDM without nephropathy; group III, IDDM with kidney disease; and group IV, nondiabetics with kidney disease. AR messenger ribonucleic acid was measured by a ribonuclease protection assay. The results are expressed as the mean and 95% confidence interval (CI) of the AR/beta-actin messenger ribonucleic acid molar ratios (AR/beta-actin R). Among diabetics, the AR/beta-actin R was higher in group III (0.088; CI, 0.068-0.108) than in group I (0.045; CI, 0.033-0.057; P < 0.01). There were no significant differences in age, hemoglobin A1c, or duration of diabetes between groups II and III (P = NS). The AR/beta-actin R in group III was also higher than that in group II (0.045; CI, 0.030-0.060; P < 0.01) or group IV (0.019; CI, 0.011-0.027; P < 0.001). In contrast, among nondiabetics, AR/beta-actin R values were 2-fold lower in group IV than in group I (P < 0.01). The results of this study are consistent with the hypothesis that the degree of AR gene expression modulates the risk of KDDM."
9299475,1997,Biochemical and biophysical research communications,Identification of glucose-regulated genes in human mesangial cells by mRNA differential display.,10.1006/bbrc.1997.7265,PM_Q1,,"Diabetic nephropathy is characterised by an accumulation of extracellular matrix proteins in the glomerular mesangium. Hyperglycaemia is a major factor promoting this progressive expansion of the mesangial matrix. We have used the technique of mRNA differential display to investigate changes in gene expression in cultured human mesangial cells following long-term (21 days) exposure to either physiologic (4 mM) or pathologic (30 mM) D-glucose concentrations. Approximately 12,000 mRNA species were screened for evidence of altered expression and several hundred candidate cDNA fragments were obtained. Northern blot and RT-PCR analysis of ten randomly chosen candidate cDNA fragments revealed three exhibiting increased mRNA expression under elevated D-glucose levels. Nucleotide sequence analysis identified two of the cDNA fragments as encoding prolyl 4-hydroxylase alpha-subunit and thrombospondin-1. The third cDNA fragment represents a novel glucose-regulated gene, encoding a putative zinc finger protein. Upregulated expression of these genes in response to high levels of D-glucose may contribute significantly to the disease process. mRNA differential display is a useful tool to investigate the mechanism of diabetic nephropathy."
9346947,1997,The Journal of biological chemistry,Alterations in human glomerular epithelial cells interacting with nonenzymatically glycosylated matrix.,10.1074/jbc.272.44.27966,PM_Q1,,"The glomerular epithelial cells and the glomerular basement membrane are important constituents of the permselective barrier in the kidney. These are affected in diabetic nephropathy, one of the long-term complications in diabetic patients. Nonenzymatic glycosylation resulting in the accumulation of advanced glycosylation end products correlates with the development of long-term complications in diabetes. The interaction of cells with extracellular matrix proteins plays a critical role in a variety of biological processes. Recent studies show that cell-matrix interactions mediated by integrins can transduce biochemical signals to the cell interior and regulate cell behavior. In this paper we demonstrate that interactions of human glomerular epithelial cells with a nonenzymatically glycated matrix are altered with defective cell spreading, reduced phosphorylation of focal adhesion kinase and reduced activity of mitogen-activated protein kinase. These data suggest that matrix glycation interferes with normal cell-matrix interactions and intracellular signaling that can potentially result in differential gene expression contributing to the changes seen in diabetic nephropathy."
9519709,1998,Diabetes,Expression of glutamine:fructose-6-phosphate amidotransferase in human tissues: evidence for high variability and distinct regulation in diabetes.,10.2337/diab.47.2.170,PM_Q1,,"Recent in vitro and in vivo studies suggested that the increased flux of glucose through the hexosamine biosynthetic pathway may contribute to glucose-induced insulin resistance and to the induction of the synthesis of growth factors. Because glutamine:fructose-6-phosphate amidotransferase (GFAT) catalyzes the first and rate-limiting step in the formation of hexosamine products, this enzyme is the key regulator in this pathway and is therefore possibly also involved in the alterations occurring in preclinical or manifest diabetic patients. To study the expression of GFAT in human tissues, we produced and characterized a peptic antiserum specifically recognizing GFAT protein and a riboprobe for the detection of GFAT mRNA. Immunohistochemical and nonradioactive in situ hybridization analysis revealed high levels of expression of GFAT protein and mRNA in adipocytes and skeletal muscle. Furthermore, a marked GFAT expression was found in vascular smooth muscle cells with unexpectedly high variability and lower levels in other cells, e.g., peripheral nerve sheath cells or endocrine-active cells, including the pancreatic islet cell. GFAT protein expression was below detection level in endothelium, osteocytes, lymphocytes, granulocytes, and in most quiescent fibroblasts. In renal tissue, GFAT was expressed in tubular epithelial cells, while glomerular cells remained essentially unstained. Renal sections obtained from patients with diabetic nephropathy showed significant GFAT expression in some glomerular epithelial and mesangial cells, indicating that GFAT expression may be induced by manifest diabetes. Our data indicate that GFAT is expressed in most tissues involved in the development of diabetic late complications. Furthermore, the results suggest that GFAT gene expression is highly regulated."
9519753,1998,Diabetes,Unselective inhibition of endothelin receptors reduces renal dysfunction in experimental diabetes.,10.2337/diabetes.47.3.450,PM_Q1,,"Chronic nephropathies are associated with enhanced renal synthesis of endothelin (ET)-1. A recent study demonstrated that an ET(A) receptor antagonist given to diabetic rats at the moment of disease induction prevented the development of renal injury. Here we investigated whether an unselective ET(A)/ET(B) receptor antagonist, PD 142,893, was renoprotective when given to streptozotocin diabetic rats when animals were already proteinuric. The effect of PD 142,893 was compared with that of an ACE inhibitor, lisinopril, known to retard progressive renal disease in experimental and human diabetes. PD 142,893 normalized systemic blood pressure, reduced urinary protein and albumin excretion, and ameliorated renal blood flow in diabetic rats, but it did not affect such parameters in control rats. Lisinopril had a renoprotective effect comparable to PD 142,893, although lisinopril controlled systemic blood pressure better. Northern blot analysis of ET-1 mRNA revealed upregulation of ET-1 gene in the diabetic kidney. Similar results were obtained by in situ hybridization in glomeruli and tubuli of diabetic rats. Both treatments remarkably attenuated exaggerated renal ET-1 gene expression. These data suggest that ET-1 is a contributory mediator of kidney damage in diabetes and indicate that ET receptor antagonists may represent a new therapeutic mean for treatment of progressive diabetic nephropathy."
