gene_symbol,focused_pathways,GSE142025_advanced_vs_control_effect_size_log_expression,GSE142025_advanced_vs_control_p_value,GSE142025_advanced_vs_control_fdr_bh,GSE142025_early_vs_control_effect_size_log_expression,GSE142025_early_vs_control_p_value,GSE142025_early_vs_control_fdr_bh,GSE142025_advanced_vs_early_effect_size_log_expression,GSE142025_advanced_vs_early_p_value,GSE142025_advanced_vs_early_fdr_bh,GSE142025_ordinal_trend_stage_slope_log_expression,GSE142025_ordinal_trend_p_value,GSE142025_ordinal_trend_fdr_bh,GSE96804_DKD_vs_control_effect_size_log_expression,GSE96804_DKD_vs_control_p_value,GSE96804_DKD_vs_control_fdr_bh,GSE166239_T2DN_vs_control_effect_size_log_expression,GSE166239_T2DN_vs_control_p_value,GSE166239_T2DN_vs_control_fdr_bh,GSE166239_T2DN_vs_HTN_effect_size_log_expression,GSE166239_T2DN_vs_HTN_p_value,GSE166239_T2DN_vs_HTN_fdr_bh,GSE166239_n_albuminuria,GSE166239_n_eGFR,GSE166239_n_proteinuria,GSE166239_spearman_rho_albuminuria,GSE166239_spearman_rho_eGFR,GSE166239_spearman_rho_proteinuria,GSE166239_p_value_albuminuria,GSE166239_p_value_eGFR,GSE166239_p_value_proteinuria,GSE166239_fdr_bh_within_trait_albuminuria,GSE166239_fdr_bh_within_trait_eGFR,GSE166239_fdr_bh_within_trait_proteinuria,validation_direction_consistent,prioritization_status,interpretation_note
C1S,COMPLEMENT_ACTIVATION,2.110712698412698,1.5134875451508906e-12,2.1671880406939795e-09,0.1515555555555554,0.2603940923451528,0.4383181513290322,1.9591571428571424,8.20912336709813e-12,4.8338223208897046e-08,1.124879487179488,1.1372682231684032e-10,5.494738603643983e-08,0.3980642195121913,5.282111765401272e-05,0.0003090431609457,1.1082300000000007,0.0002614334509549,0.0163768170138933,0.170886666666667,0.4829314987107189,0.7494445511953816,0.0,6.0,6.0,,-0.08571428571428573,0.3714285714285715,,0.8717434402332361,0.46847813411078715,,0.9443887269193391,0.7427092370049064,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
VEGFA,HYPOXIA,-1.1819047619047591,1.921826487497433e-10,2.7518953778890333e-08,-0.4251333333333331,0.0001205713648329,0.0077207839232979,-0.756771428571426,1.6585821939605948e-06,3.097633196232136e-05,-0.6037076923076906,4.248316556508112e-09,3.221321480817302e-07,-0.4988434146341465,0.0006696944147818,0.0026326563884013,-0.2049366666666676,0.5279826020246999,0.6445936243468782,0.1767616666666658,0.5860156472355105,0.8052855416926188,0.0,6.0,6.0,,-0.2,0.3714285714285715,,0.704,0.46847813411078715,,0.9443887269193391,0.7427092370049064,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
CFD,COMPLEMENT_ACTIVATION,2.377517142857143,2.545491118527277e-10,3.1020690701882414e-08,1.3966283333333331,0.0258245748787631,0.1045534311168564,0.98088880952381,0.0848580819125897,0.1514768773638095,1.1727685897435915,1.7018919579256031e-09,2.0308062161830305e-07,0.0645722439024396,0.2818136048022694,0.3961367768517638,1.771122583333333,0.0915290133247836,0.2169408052256292,-0.1964866666666669,0.7013760167216077,0.8618975534682988,0.0,6.0,6.0,,-0.4285714285714286,-0.4285714285714286,,0.3965014577259474,0.3965014577259474,,0.9443887269193391,0.6965566149239617,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
ITGAM,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,1.3939604761904754,4.729311285304118e-10,4.369019129859176e-08,-0.1180383333333345,0.2794858549377405,0.4577140841148666,1.51199880952381,3.370899923598556e-10,1.44805433467985e-07,0.7596739743589753,7.16798154122771e-08,1.8466440660864785e-06,0.1378974878048779,0.1752125342493231,0.2722118491782018,1.5909050000000011,5.808842667824573e-05,0.0091268283438482,0.1887566666666682,0.4045538362826424,0.7077978338738316,0.0,6.0,6.0,,0.08571428571428573,0.5428571428571429,,0.8717434402332361,0.26570262390670557,,0.9443887269193391,0.5079608986451724,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
LAMC1,ECM_REMODELING,0.6314222222222199,1.5030319855007863e-09,8.695824446754212e-08,0.0320722222222205,0.5137768666018709,0.6713081836270919,0.5993499999999994,1.5645182899691755e-08,1.0972701133281772e-06,0.3375294871794889,8.23921754655074e-08,2.0224925014625917e-06,0.6324238414634156,6.279012076398844e-07,7.542484023158017e-06,0.3544166666666672,0.0429873561449636,0.1517717772026164,0.1731216666666668,0.2983784173346965,0.6568445770115875,0.0,6.0,6.0,,0.2571428571428572,-0.2571428571428572,,0.6227871720116618,0.6227871720116618,,0.9443887269193391,0.8896959600166597,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
TIMP1,ECM_REMODELING,2.2196136507936526,1.540550192110967e-09,8.853268879947408e-08,0.1825755555555552,0.4016276605612829,0.5729487830157347,2.0370380952380973,1.1618180851764824e-08,9.257101886944462e-07,1.1811323076923097,4.772469151268007e-09,3.417185903323238e-07,0.2827409390243875,0.0212043419751385,0.0482467569797464,1.9212799999999997,0.0006871558442582,0.0260021930072072,0.479916666666667,0.2093589054452507,0.6298437969046328,0.0,6.0,6.0,,0.2571428571428572,0.7714285714285715,,0.6227871720116618,0.07239650145772594,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
C1QA,COMPLEMENT_ACTIVATION,1.9279320634920616,1.5612075766329801e-09,8.882857546120695e-08,0.2402177777777794,0.3443416759803741,0.5206809513627938,1.6877142857142822,2.186652537357993e-05,0.0002137272499967,1.019638974358976,5.867981100217599e-09,3.8780584325015e-07,0.4267460609756099,0.0002356733402109,0.0010907909314983,1.1463616666666656,1.738306047037932e-06,0.0025497380361,0.3036949999999985,0.2145155594034958,0.6298758466961197,0.0,6.0,6.0,,-0.028571428571428574,0.2,,0.9571545189504373,0.704,,0.9571545189504373,0.9244444444444444,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
CCR2,MACROPHAGE_RECRUITMENT,2.7199339682539687,3.7308424719721114e-09,1.516502878677304e-07,0.3149844444444447,0.2409713727796394,0.4170219658044661,2.404949523809524,2.3860967660153553e-09,3.765915918690762e-07,1.4403502564102575,7.019805815336671e-10,1.230890072999362e-07,0.463953390243903,0.0010245681064495,0.0037749969049979,1.7082466666666662,0.0007287010039364,0.0265324257226743,-0.3529816666666665,0.3262942733128212,0.6701422649653781,0.0,6.0,6.0,,-0.08571428571428573,0.08571428571428573,,0.8717434402332361,0.8717434402332361,,0.9443887269193391,0.9289069445108253,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
PECAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,0.6949984126984159,4.330059883502526e-09,1.649743214594765e-07,-0.023411111111109,0.7978241452491097,0.8785371410519748,0.7184095238095249,4.164758835812275e-06,6.238264774215902e-05,0.3760307692307708,1.8405289999445013e-08,7.770469239814831e-07,0.5666079268292705,0.0001911063347284,0.0009129111267629,1.2094449999999997,0.0099592097602,0.0804247916668665,0.7147350000000001,0.0877958196859139,0.6286540708540912,0.0,6.0,6.0,,0.3714285714285715,0.6,,0.46847813411078715,0.20799999999999982,,0.9443887269193391,0.45066666666666627,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
ITGAL,LEUKOCYTE_ADHESION,1.8897322222222213,4.80268248453612e-09,1.755840279399663e-07,-0.1862027777777761,0.2909340966956114,0.4688287145757001,2.0759349999999976,2.0438597051329508e-08,1.3055628741003531e-06,1.0318714102564124,4.806266956683661e-07,6.6403677607731e-06,0.1163962195121968,0.2911604072478661,0.4062774368623987,2.0146700000000006,8.099328049024415e-05,0.0104531952632721,0.1317016666666663,0.6764823326208358,0.8486116565160272,0.0,6.0,6.0,,0.08571428571428573,0.5428571428571429,,0.8717434402332361,0.26570262390670557,,0.9443887269193391,0.5079608986451724,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
FLT1,ENDOTHELIAL_ACTIVATION,-1.0446809523809524,5.6330409340425764e-09,1.920486951778841e-07,-0.6214499999999976,0.0065344553516642,0.0497275942795235,-0.4232309523809547,0.0403207454623168,0.0842245768634804,-0.5147166666666647,1.2972421420413037e-07,2.731680358663691e-06,-0.6896863414634176,0.0001439416689039,0.0007204728056957,-0.7092083333333337,0.0131759734825585,0.0912084829754213,-0.1922500000000013,0.4440422455825322,0.7260073136404822,0.0,6.0,6.0,,-0.7714285714285715,-0.8857142857142858,,0.07239650145772594,0.01884548104956266,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
MMP7,ECM_REMODELING,2.5926546031746014,7.522657406532567e-09,2.371776554430259e-07,-0.655726111111111,0.0587840724424895,0.1690621625289226,3.2483807142857124,4.962522110950988e-08,2.449542472501229e-06,1.4464852564102586,2.8873770358528776e-07,4.74553519247486e-06,2.2947783414634166,2.884265895475969e-05,0.0001844478662419,1.9121300000000008,0.0013859745155957,0.034645484356113,0.7474949999999998,0.0939948192299427,0.6286540708540912,0.0,6.0,6.0,,0.2571428571428572,-0.2571428571428572,,0.6227871720116618,0.6227871720116618,,0.9443887269193391,0.8896959600166597,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
CCR5,MACROPHAGE_RECRUITMENT,1.985889365079368,9.882546673417996e-09,2.8161160777668564e-07,-0.1530827777777759,0.5727533534843761,0.7195344951409072,2.138972142857144,3.065856817010989e-06,4.918825180830983e-05,1.0811006410256423,9.20236422669235e-08,2.1780196213120474e-06,0.1752981463414631,0.0239506187077314,0.0533627900463137,1.5588258333333336,0.0002009450741452,0.0144197807486962,-0.5415449999999993,0.158884616290664,0.6286540708540912,0.0,6.0,6.0,,-0.028571428571428574,-0.3714285714285715,,0.9571545189504373,0.46847813411078715,,0.9571545189504373,0.7427092370049064,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
CSF1R,MACROPHAGE_RECRUITMENT,1.4601444444444436,1.0433590689744125e-08,2.910395922433009e-07,-0.0261888888888872,0.8538277838048121,0.9142720015652824,1.4863333333333308,2.322088326177311e-09,3.765915918690762e-07,0.7882461538461558,9.477235363560618e-08,2.2066034587000285e-06,0.5005394390243909,0.0004815197434283,0.0019915699427584,1.4712533333333324,4.173963619111053e-05,0.0079616774188192,0.4083699999999988,0.0772893377964308,0.6286540708540912,0.0,6.0,6.0,,0.5428571428571429,0.8857142857142858,,0.26570262390670557,0.01884548104956266,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
LUM,FIBROSIS,1.6849095238095266,1.8811859154457882e-08,4.470873801535958e-07,0.0126666666666697,0.9565218328095064,0.9751586582301784,1.672242857142857,1.7206962874183734e-05,0.0001770462533335,0.9062846153846172,2.137340959067681e-09,2.3383294392462946e-07,3.033962268292683,1.913044390395605e-09,6.536427653528428e-08,1.047418333333335,0.0043335722502187,0.0574929564980015,0.2641000000000009,0.3789824627756119,0.6953218801654745,0.0,6.0,6.0,,0.08571428571428573,0.08571428571428573,,0.8717434402332361,0.8717434402332361,,0.9443887269193391,0.9289069445108253,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
F11,COAGULATION_CASCADE,-1.4153158730158708,3.2286580391479274e-08,6.473515879425769e-07,0.0378388888888885,0.8338601069945986,0.9031707730683494,-1.4531547619047591,2.397764770743192e-06,4.1159632423257e-05,-0.7650038461538441,9.750015135292491e-07,1.124392685031751e-05,-0.6660634024390255,2.391773656588824e-05,0.0001580471175529,-1.4617600000000015,0.0088972302954863,0.0769195358380711,-0.5128100000000009,0.3648655974641969,0.6890991457554986,0.0,6.0,6.0,,-0.2571428571428572,-0.7714285714285715,,0.6227871720116618,0.07239650145772594,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
COL1A1,FIBROSIS,2.480869841269844,3.5674025373080695e-08,6.973683481065364e-07,0.282155555555553,0.2845102160592814,0.4625545503403002,2.1987142857142903,5.143304157003804e-08,2.4895040937970804e-06,1.3141487179487197,9.28256591963109e-08,2.1850911875755237e-06,0.8202243292682931,6.761791235983112e-09,1.75596964370496e-07,1.586295000000001,0.0010297396114225,0.030564447809267,0.6163666666666661,0.0885638038841753,0.6286540708540912,0.0,6.0,6.0,,0.2571428571428572,0.7714285714285715,,0.6227871720116618,0.07239650145772594,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
COL1A2,FIBROSIS,1.8352396825396813,4.1132084543075956e-08,7.632832388305643e-07,0.3529444444444447,0.086329313581096,0.2172519911048583,1.4822952380952366,1.1309022130994846e-08,9.2136639782425e-07,0.9610564102564124,1.256571197694906e-09,1.741263136289643e-07,1.5684545487804895,5.814996717482099e-09,1.5639644560371894e-07,0.9511350000000008,0.0025192280324126,0.0457952973399666,0.404068333333333,0.1170626865678296,0.6286540708540912,0.0,6.0,6.0,,0.2571428571428572,0.7714285714285715,,0.6227871720116618,0.07239650145772594,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
F3,COAGULATION_CASCADE,-1.5384711111111145,5.8553643431072767e-08,9.902827313741372e-07,-0.5399311111111107,0.0079687289246751,0.0553462688410237,-0.9985400000000038,3.109593094264436e-05,0.0002769939768727,-0.7868743589743568,1.117302256892889e-07,2.451929077929822e-06,-0.7411217073170722,5.59966978920305e-05,0.0003249331220163,-0.6740450000000004,0.1578253598894768,0.2938300844430343,-0.3283849999999999,0.5776131148914372,0.8012648091920012,0.0,6.0,6.0,,0.48571428571428577,0.4285714285714286,,0.3287230320699709,0.3965014577259474,,0.9443887269193391,0.6965566149239617,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
ADAMTS2,ECM_REMODELING,1.522271428571429,1.1305373144695945e-07,1.6033577572432407e-06,0.4312066666666663,0.0825230450394294,0.2114514588297817,1.0910647619047626,0.0003769146086377,0.0019697456570018,0.7865148717948727,8.47006216357753e-08,2.049874340235953e-06,0.2172568292682921,3.4500909066274715e-06,3.1403463266401115e-05,0.8759766666666664,0.0007361011767895,0.0266219570972457,0.0987866666666672,0.3916000078669972,0.7014967352080216,0.0,6.0,6.0,,0.028571428571428574,-0.08571428571428573,,0.9571545189504373,0.8717434402332361,,0.9571545189504373,0.9289069445108253,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
CFH,COMPLEMENT_ACTIVATION,0.981965079365084,1.1309256833956865e-07,1.6033577572432407e-06,-0.1973777777777776,0.1193815389400628,0.266749981968716,1.1793428571428617,4.128564546378973e-08,2.189540882729318e-06,0.5439333333333363,2.93506652302907e-06,2.5407177866603782e-05,1.143047463414634,0.0001518837120997,0.0007532246621322,0.0632633333333343,0.7418581674608202,0.8177498447910885,-0.3850466666666667,0.1020294766033929,0.6286540708540912,0.0,6.0,6.0,,-0.6571428571428573,-0.2,,0.15617492711370237,0.704,,0.9443887269193391,0.9244444444444444,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
MMP14,ECM_REMODELING,0.7373190476190512,1.2993920450888157e-07,1.774411778522175e-06,-0.3199499999999986,0.0069928262448412,0.0516363271874118,1.0572690476190498,2.0047420274234817e-08,1.2895379347854956e-06,0.42162948717949,9.537854195625317e-06,6.305846427219307e-05,0.7382563048780506,0.0001450959529784,0.0007257685449843,1.0472883333333334,0.0040245699108526,0.0554343731761564,0.5000866666666672,0.0898093863685405,0.6286540708540912,0.0,6.0,6.0,,0.5428571428571429,0.6571428571428573,,0.26570262390670557,0.15617492711370237,,0.9443887269193391,0.43197320265492145,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
LOX,FIBROSIS,-0.6738923809523829,1.6504994429591045e-07,2.116538733925011e-06,-0.4989400000000028,0.0093560903208036,0.0598323644565588,-0.17495238095238,0.2687922695340705,0.3744655073296525,-0.3244851282051268,4.343212639698482e-06,3.447086502907114e-05,-1.7840439024390236,1.4932671227865244e-11,1.401502450220265e-09,-0.4799700000000007,0.1136457244521809,0.2425619000057369,-0.4150883333333333,0.2434203498903338,0.6335788110480253,0.0,6.0,6.0,,0.08571428571428573,-0.028571428571428574,,0.8717434402332361,0.9571545189504373,,0.9443887269193391,0.9571545189504373,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
VWF,COAGULATION_CASCADE;ENDOTHELIAL_ACTIVATION,1.7406793650793642,1.7373674821729246e-07,2.196594066861426e-06,-0.2119444444444447,0.4363580333711805,0.6050141279284269,1.9526238095238089,6.650446250834525e-06,8.749970744876696e-05,0.9535923076923088,1.8182490400640453e-06,1.767136496347313e-05,0.4721988170731706,2.644312465424165e-07,3.686225625045746e-06,0.9839949999999992,0.0461267883293097,0.1562969351383432,0.1633799999999983,0.6089177793248868,0.8164276505093441,0.0,6.0,6.0,,-0.08571428571428573,-0.2571428571428572,,0.8717434402332361,0.6227871720116618,,0.9443887269193391,0.8896959600166597,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
VSIG4,COMPLEMENT_ACTIVATION,1.5531914285714308,2.394215303790425e-07,2.8255358217740976e-06,-0.0634483333333317,0.7808540723715331,0.8681601763545813,1.6166397619047626,5.94831550526524e-06,8.060718085723393e-05,0.8412144871794891,2.228156243671138e-08,8.821753164746812e-07,1.2643568292682916,1.984410043330763e-06,1.966931234447789e-05,1.3969283333333342,0.0001213523611494,0.0121815859751101,-0.0397399999999992,0.8464211601652634,0.934774517834403,0.0,6.0,6.0,,-0.14285714285714288,-0.6,,0.7871720116618075,0.20799999999999982,,0.9443887269193391,0.45066666666666627,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
ITGB2,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,1.3546474603174588,3.229166604279233e-07,3.514044950052568e-06,-0.4063844444444466,0.020590961364086,0.0920193729828583,1.7610319047619054,5.9086328517022556e-09,6.415088791674243e-07,0.7606858974358981,1.042390942415404e-05,6.802659917783474e-05,0.1090421585365852,0.2169904189998269,0.3224986061736701,1.5833483333333325,1.6700054707690731e-06,0.0025497380361,0.3228766666666667,0.0462702260094268,0.6286540708540912,0.0,6.0,6.0,,0.48571428571428577,0.6,,0.3287230320699709,0.20799999999999982,,0.9443887269193391,0.45066666666666627,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
C1QC,COMPLEMENT_ACTIVATION,1.806967301587301,4.711374838616462e-07,4.671411070510484e-06,0.0535244444444433,0.8355815004986449,0.9044849327434074,1.7534428571428575,2.0360789541254303e-06,3.636792585107824e-05,0.9688651282051302,4.5764422974095997e-08,1.3893464310316102e-06,1.566253219512192,0.0001812403490138,0.0008740885830156,1.5181583333333335,1.948956246787004e-05,0.006932613456127,0.506355000000001,0.069167416427217,0.6286540708540912,0.0,6.0,6.0,,0.2571428571428572,0.7714285714285715,,0.6227871720116618,0.07239650145772594,,0.9443887269193391,0.27681015263248154,True,prioritized_primary_trend_and_directional_glomerular_consistency,Association-based prioritization only; no causal interpretation. GSE166239 clinical correlations are exploratory within n=6 T2DN samples.
