gene_symbol,gse30528_external_mapping_status,gse30528_direction_concordant,gse30528_external_fdr_bh_145_family,gse30528_external_fdr_lt_0_05,gse30528_hedges_g,gse30529_disjoint_mapping_status,gse30529_disjoint_direction_concordant,gse30529_disjoint_fdr_bh_145_family,gse30529_disjoint_fdr_lt_0_05,gse30529_disjoint_hedges_g,significance_switch_class,display_color_code
ACKR1,MAPPED_TESTED,False,0.029658192181449,True,1.7166758923587284,MAPPED_TESTED,False,0.11787951311664074,False,1.8751635664459478,GSE30528_ONLY,RED
ACTA2,MAPPED_TESTED,False,0.977228678736234,False,-0.0362421873422643,MAPPED_TESTED,False,0.05646828881974713,False,-1.503037770509805,NEITHER,GRAY
ADAMTS2,MAPPED_TESTED,True,0.0681897778714168,False,1.1007752196549458,MAPPED_TESTED,False,0.29566673241546004,False,-0.6347978712297699,NEITHER,GRAY
ADAMTS4,NOT_MAPPED,False,1.0,False,,NOT_MAPPED,,1.0,False,,NEITHER,GRAY
ADAMTS5,MAPPED_TESTED,False,0.9362973724566144,False,-0.0737407754884242,MAPPED_TESTED,True,0.07931786814617106,False,1.894663850268403,NEITHER,GRAY
ANGPT2,MAPPED_TESTED,True,0.1926565707413856,False,0.7324920220054266,MAPPED_TESTED,True,0.9274523470499061,False,0.1354886709017589,NEITHER,GRAY
ANGPTL4,MAPPED_TESTED,True,0.90407141854114,False,-0.133728880865567,MAPPED_TESTED,True,0.6234025712522497,False,-0.4441922693347839,NEITHER,GRAY
ARNT,MAPPED_TESTED,False,0.3050359181286315,False,0.6695691498975902,MAPPED_TESTED,False,0.14002841751230874,False,1.2874249915317155,NEITHER,GRAY
BNIP3,MAPPED_TESTED,False,0.5669205690154726,False,0.3980920657407891,MAPPED_TESTED,True,0.46839955239087855,False,-0.6400709652995893,NEITHER,GRAY
C1QA,MAPPED_TESTED,True,0.0001774841694656,True,3.2526319624482727,MAPPED_TESTED,True,0.21325220835415695,False,1.3237156432567339,GSE30528_ONLY,RED
C1QB,MAPPED_TESTED,True,0.0012212772443529,True,2.753213858861744,MAPPED_TESTED,True,0.14540630020306441,False,1.620747901380384,GSE30528_ONLY,RED
C1QC,NOT_MAPPED,False,1.0,False,,NOT_MAPPED,,1.0,False,,NEITHER,GRAY
C1R,MAPPED_TESTED,False,0.3858266920075429,False,-0.5232417110511719,MAPPED_TESTED,True,0.17600823731981208,False,1.3852093265384917,NEITHER,GRAY
C1S,MAPPED_TESTED,True,0.4573758475970764,False,0.4858940690057541,MAPPED_TESTED,True,0.06381333134454077,False,2.4767756168251682,NEITHER,GRAY
C2,MAPPED_TESTED,False,0.0221889223607502,True,1.699688379223627,MAPPED_TESTED,False,0.3535440751068144,False,0.6998156153741825,GSE30528_ONLY,RED
C3,MAPPED_TESTED,True,0.0111390502264052,True,1.7690556878083523,MAPPED_TESTED,True,0.07839026512607661,False,2.2892132346359912,GSE30528_ONLY,RED
C3AR1,MAPPED_TESTED,True,0.0196531046604483,True,1.7391130037391016,MAPPED_TESTED,True,0.13802392444499556,False,1.6257444309063627,GSE30528_ONLY,RED
C4A,MAPPED_TESTED,False,0.1811429826073831,False,0.9279328477511996,MAPPED_TESTED,False,0.6838248766206987,False,0.2515147156453224,NEITHER,GRAY
C4B,NOT_MAPPED,True,1.0,False,,NOT_MAPPED,,1.0,False,,NEITHER,GRAY
C5,MAPPED_TESTED,True,0.8004093106348268,False,-0.2056099863645863,MAPPED_TESTED,True,1.0,False,-0.005400351588835966,NEITHER,GRAY
C5AR1,MAPPED_TESTED,True,0.5029494340503392,False,-0.3524687597215758,MAPPED_TESTED,False,0.46126970780019816,False,0.447563119283039,NEITHER,GRAY
C6,MAPPED_TESTED,True,0.3776460757200439,False,0.487970247624606,MAPPED_TESTED,True,0.41569902890411137,False,0.7762476170579459,NEITHER,GRAY
C7,MAPPED_TESTED,True,0.0018551406128893,True,2.0544041252880985,MAPPED_TESTED,True,0.07436560961154137,False,1.471467706685381,GSE30528_ONLY,RED
C8A,MAPPED_TESTED,False,0.116502804197857,False,0.9514534421309196,MAPPED_TESTED,False,0.4505494133103979,False,-0.5870612155046528,NEITHER,GRAY
C8B,MAPPED_TESTED,False,1.0,False,-0.0076810252518982,MAPPED_TESTED,False,0.11787951311664074,False,-1.2267223705775436,NEITHER,GRAY
