gene_symbol,discovery_effect_fixed,discovery_direction,n_discovery_studies
C1S,1.330479820530543,UP,2
VEGFA,-1.1457598713347306,DOWN,2
CFD,0.7870809397620554,UP,2
ITGAM,0.797853584899533,UP,2
LAMC1,1.452851433055606,UP,2
TIMP1,1.0067670255332628,UP,2
C1QA,1.4128288368313109,UP,2
CCR2,1.165009508253977,UP,2
PECAM1,1.3282959177794884,UP,2
ITGAL,0.7405781719922211,UP,2
FLT1,-1.2383303720517316,DOWN,2
MMP7,1.3396020754693818,UP,2
CCR5,1.0478776670913788,UP,2
CSF1R,1.2324184677548227,UP,2
LUM,1.8915745336910144,UP,2
F11,-1.421112151478113,DOWN,2
COL1A1,1.6264604350418164,UP,2
COL1A2,1.720761895261403,UP,2
F3,-1.2208271020106725,DOWN,2
ADAMTS2,1.3996799545099206,UP,2
CFH,1.243592264875189,UP,2
MMP14,1.1321524678725234,UP,2
LOX,-1.8653927996822033,DOWN,2
VWF,1.4276841256102493,UP,2
VSIG4,1.4461136231258835,UP,2
ITGB2,0.7244889456743584,UP,2
C1QC,1.3439836397791125,UP,2
KDR,-1.3907637894210596,DOWN,2
C3AR1,0.9681722064505496,UP,2
FN1,1.897787049704347,UP,2
MMP2,1.7575097348488424,UP,2
COL4A1,1.1175489460260222,UP,2
PLG,-1.2394517518267547,DOWN,2
COL4A2,1.2234229107693655,UP,2
C7,1.3480136100967741,UP,2
C1QB,1.0421204137248312,UP,2
FGF2,1.325150283833688,UP,2
EMCN,-1.1988966229943712,DOWN,2
F13A1,0.5894678914527731,UP,2
C3,1.3409183485973566,UP,2
CX3CR1,0.9419348460846123,UP,2
C5,-0.6953977025416319,DOWN,2
CR1,-1.2717194666285618,DOWN,2
BNIP3,-1.5620759001172257,DOWN,2
ADAMTS5,1.5427731962039004,UP,2
SPARC,0.4794700152048565,UP,2
CSF1,1.0947941700478614,UP,2
SERPINC1,-1.0109709798028594,DOWN,2
TGFB1,0.7341568897974697,UP,2
LOXL2,1.218362829562958,UP,2
VCAM1,0.881431831883716,UP,2
EDN1,1.2180338573392904,UP,2
PDK1,0.8805942530010534,UP,2
F5,-0.7816072635109774,DOWN,2
LDHA,0.9642657947606869,UP,2
F8,-0.455881297005273,DOWN,2
PLAT,-0.9069954132512654,DOWN,2
CXCL1,0.3725359389122172,UP,2
CTGF,-0.8276757253096387,DOWN,2
C6,0.5032764520672807,UP,2
ACTA2,1.0507029284455207,UP,2
COL3A1,,NOT_ESTIMABLE,1
C1R,0.4055230847798558,UP,2
ACKR1,,NOT_ESTIMABLE,1
DCN,-0.3287254601157399,DOWN,2
SELL,-0.4712242245994392,DOWN,2
CFP,0.02725465702136466,UP,2
F7,-0.35724536254349726,DOWN,2
CCL5,0.2230351959489792,UP,2
TIMP2,,NOT_ESTIMABLE,1
SERPING1,-0.1519663021370249,DOWN,2
JAM3,0.297134202674862,UP,2
MMP9,0.41550084348751243,UP,2
ENO1,0.365584239461755,UP,2
SMAD2,0.28114268279829274,UP,2
ARNT,-0.2770312412657884,DOWN,2
PDGFRB,,NOT_ESTIMABLE,1
CFI,-0.2846849868922091,DOWN,2
PROS1,0.3944081638635315,UP,2
CCL18,,NOT_ESTIMABLE,1
F10,0.26684516919618856,UP,2
SELP,-0.019620791077141115,DOWN,2
MMP3,0.23787480171253692,UP,2
PGK1,,NOT_ESTIMABLE,1
TGFBR2,-0.5555013184198689,DOWN,2
TEK,0.0648548182589476,UP,2
ANGPTL4,-1.0823518625277875,DOWN,2
LAMB1,0.6805477954872856,UP,2
RAMP2,-0.4534989057897687,DOWN,2
ADAMTS4,-0.39008657251426737,DOWN,2
CXCL3,-0.45223526150840415,DOWN,2
CFB,0.2341373138555443,UP,2
SPP1,0.32316582212116873,UP,2
CXCL10,0.5754704324136845,UP,2
CCL2,0.9890597044168938,UP,2
CXCL2,-0.8041767172615225,DOWN,2
FGG,0.34207816012402775,UP,2
TGFB2,1.0549530787133152,UP,2
SMAD4,0.04760638059540347,UP,2
TFPI,-0.5727729173005306,DOWN,2
PROC,-0.8907473995649982,DOWN,2
SMAD7,-0.154235499902973,DOWN,2
TGFB3,1.1291348867184094,UP,2
THBD,0.6336600862990067,UP,2
ROBO4,-0.6379189289756515,DOWN,2
CCL8,0.4967731352102095,UP,2
PLAU,0.8052900688763681,UP,2
PLVAP,0.47872717724495434,UP,2
ICAM1,0.06651241997390978,UP,2
SKI,0.3374309263402662,UP,2
ID1,-0.5167306897675742,DOWN,2
SERPINE1,0.31178215519880303,UP,2
THBS1,-0.4192909720904377,DOWN,2
HIF1A,0.7723206575950383,UP,2
SLC2A1,-0.36582320183673867,DOWN,2
ENG,-0.10975668740284919,DOWN,2
C8G,0.6813307939354424,UP,2
CD34,0.19546188550911925,UP,2
FGA,0.22151933170346896,UP,2
FGB,0.19920567344903597,UP,2
CXCL8,,NOT_ESTIMABLE,1
ESAM,0.38529027137723154,UP,2
C5AR1,-0.8092106667919776,DOWN,2
CXCL9,-0.2032237509330273,DOWN,2
TGFBR1,0.7454731888115894,UP,2
CCL20,-0.050361361962054166,DOWN,2
SELE,0.2148775156560416,UP,2
PDGFB,0.8866075636061741,UP,2
LGALS3,0.46063551003939684,UP,2
ANGPT2,1.1230199105012004,UP,2
SKIL,1.2592991328991268,UP,2
EPAS1,-0.47921125523632563,DOWN,2
F12,-0.04720735127319772,DOWN,2
SMAD3,0.03911453337666895,UP,2
PDGFA,-0.21585905225450278,DOWN,2
C2,,NOT_ESTIMABLE,1
C4A,,NOT_ESTIMABLE,0
C4B,,NOT_ESTIMABLE,1
C8A,,NOT_ESTIMABLE,1
C8B,,NOT_ESTIMABLE,1
C9,,NOT_ESTIMABLE,1
CA9,,NOT_ESTIMABLE,1
CCL7,,NOT_ESTIMABLE,1
CXCL11,,NOT_ESTIMABLE,1
F2,,NOT_ESTIMABLE,1
