gene_symbol,theme,candidate_source_row,discovery_effect,discovery_direction
C1S,COMPLEMENT_ACTIVATION,2,2.110712698412698,UP
VEGFA,HYPOXIA,3,-1.1819047619047591,DOWN
CFD,COMPLEMENT_ACTIVATION,4,2.377517142857143,UP
ITGAM,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,5,1.3939604761904754,UP
LAMC1,ECM_REMODELING,6,0.6314222222222199,UP
TIMP1,ECM_REMODELING,7,2.2196136507936526,UP
C1QA,COMPLEMENT_ACTIVATION,8,1.9279320634920616,UP
CCR2,MACROPHAGE_RECRUITMENT,9,2.7199339682539687,UP
PECAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,10,0.6949984126984159,UP
ITGAL,LEUKOCYTE_ADHESION,11,1.8897322222222213,UP
FLT1,ENDOTHELIAL_ACTIVATION,12,-1.0446809523809524,DOWN
MMP7,ECM_REMODELING,13,2.5926546031746014,UP
CCR5,MACROPHAGE_RECRUITMENT,14,1.985889365079368,UP
CSF1R,MACROPHAGE_RECRUITMENT,15,1.4601444444444436,UP
LUM,FIBROSIS,16,1.6849095238095266,UP
F11,COAGULATION_CASCADE,17,-1.4153158730158708,DOWN
COL1A1,FIBROSIS,18,2.480869841269844,UP
COL1A2,FIBROSIS,19,1.8352396825396813,UP
F3,COAGULATION_CASCADE,20,-1.5384711111111145,DOWN
ADAMTS2,ECM_REMODELING,21,1.522271428571429,UP
CFH,COMPLEMENT_ACTIVATION,22,0.981965079365084,UP
MMP14,ECM_REMODELING,23,0.7373190476190512,UP
LOX,FIBROSIS,24,-0.6738923809523829,DOWN
VWF,COAGULATION_CASCADE;ENDOTHELIAL_ACTIVATION,25,1.7406793650793642,UP
VSIG4,COMPLEMENT_ACTIVATION,26,1.5531914285714308,UP
ITGB2,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,27,1.3546474603174588,UP
C1QC,COMPLEMENT_ACTIVATION,28,1.806967301587301,UP
KDR,ENDOTHELIAL_ACTIVATION,29,-0.7350253968253995,DOWN
C3AR1,COMPLEMENT_ACTIVATION,30,1.078205714285712,UP
FN1,ECM_REMODELING,31,1.4050063492063476,UP
MMP2,ECM_REMODELING,32,1.2568952380952378,UP
COL4A1,ECM_REMODELING,33,1.0296904761904742,UP
PLG,COAGULATION_CASCADE,34,-1.548252380952384,DOWN
COL4A2,ECM_REMODELING,35,0.931736507936506,UP
C7,COMPLEMENT_ACTIVATION,36,1.2194698412698486,UP
C1QB,COMPLEMENT_ACTIVATION,37,1.7405238095238076,UP
FGF2,FIBROSIS,38,0.701214603174602,UP
EMCN,ENDOTHELIAL_ACTIVATION,39,-0.812092063492063,DOWN
F13A1,COAGULATION_CASCADE,40,1.0962555555555529,UP
C3,COMPLEMENT_ACTIVATION,41,2.5177228571428607,UP
CX3CR1,MACROPHAGE_RECRUITMENT,42,1.0105758730158758,UP
C5,COMPLEMENT_ACTIVATION,43,-0.4554511111111097,DOWN
CR1,COMPLEMENT_ACTIVATION,44,-0.5342890476190458,DOWN
BNIP3,HYPOXIA,45,-0.473546031746034,DOWN
ADAMTS5,ECM_REMODELING,46,0.6690539682539693,UP
SPARC,FIBROSIS,47,0.4893507936507912,UP
CSF1,MACROPHAGE_RECRUITMENT,48,0.605265238095237,UP
SERPINC1,COAGULATION_CASCADE,49,-1.353373968253968,DOWN
TGFB1,TGF_BETA_SIGNALING,50,0.6565365079365044,UP
LOXL2,FIBROSIS,51,0.7121525396825383,UP
VCAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,52,0.6075920634920653,UP
EDN1,ENDOTHELIAL_ACTIVATION,53,0.6143500000000017,UP
PDK1,HYPOXIA,54,0.5725866666666661,UP
F5,COAGULATION_CASCADE,55,-0.6648861904761887,DOWN
LDHA,HYPOXIA,56,0.3947095238095208,UP
F8,COAGULATION_CASCADE,57,-0.3513460317460328,DOWN
PLAT,COAGULATION_CASCADE,58,-0.5150619047619056,DOWN
CXCL1,MACROPHAGE_RECRUITMENT,59,1.3262525396825389,UP
CTGF,FIBROSIS;TGF_BETA_SIGNALING,60,-0.671090476190475,DOWN
C6,COMPLEMENT_ACTIVATION,61,1.011917301587303,UP
