gene_symbol,estimate_type,study,hedges_g,ci_95_low,ci_95_high,random_effect_weight,tau2_reml
C3,study,GSE142025_C1,2.48683627498847,1.4545538728913543,3.5191186770855856,0.2946557729679781,0.4152055708101976
C3,study,GSE96804,0.997578040005296,0.4325315732872457,1.5626245067233464,0.4095315462604026,0.4152055708101976
C3,study,GSE30528,1.7690556878083523,0.7418257943588256,2.7962855812578793,0.29581268077161943,0.4152055708101976
C3,modified_HK_pooled,pooled,1.6646094475351954,-0.2791049281610975,3.608323823231488,1.0,0.4152055708101976
COL1A1,study,GSE142025_C1,2.39573308371627,1.3794551401486457,3.412011027283894,0.278011790274923,0.169136671333012
COL1A1,study,GSE96804,1.3667679825269134,0.7762922979899214,1.9572436670639055,0.46851772541903,0.169136671333012
COL1A1,study,GSE30528,2.1097048478718863,1.0162105200570124,3.20319917568676,0.25347048430604696,0.169136671333012
COL1A1,modified_HK_pooled,pooled,1.8411449795067905,0.3397352904656336,3.3425546685479475,1.0,0.169136671333012
COL1A2,study,GSE142025_C1,2.963592371161307,1.8423716055226385,4.084813136799975,0.2924761902645405,0.4765477957796372
COL1A2,study,GSE96804,1.3752902424992497,0.784148817337118,1.9664316676613813,0.41424605230131784,0.4765477957796372
COL1A2,study,GSE30528,2.224604424410564,1.1071535208677554,3.3420553279533722,0.2932777574341416,0.4765477957796372
COL1A2,modified_HK_pooled,pooled,2.088915756707351,0.0027297946530455,4.175101718761656,1.0,0.4765477957796372
FN1,study,GSE142025_C1,2.050908774632262,1.0918439054755829,3.0099736437889413,0.3015034898702446,0.4403150588848297
FN1,study,GSE96804,1.8314171118448423,1.2000015489117701,2.4628326747779146,0.3766730648663261,0.4403150588848297
FN1,study,GSE30528,0.5534212271861605,-0.31544384111325763,1.4222862954855786,0.3218234452634293,0.4403150588848297
FN1,modified_HK_pooled,pooled,1.486305575539331,-0.4878786974502669,3.460489848528929,1.0,0.4403150588848297
PECAM1,study,GSE142025_C1,2.898808589800764,1.790141372557346,4.007475807044182,0.31694067312297064,2.2508348741555126
PECAM1,study,GSE96804,0.9262479142628756,0.36530400308801225,1.4871918254377388,0.34928331552323816,2.2508348741555126
PECAM1,study,GSE30528,-0.2853082537949854,-1.1402992760638393,0.5696827684738683,0.33377601135379115,2.2508348741555126
PECAM1,modified_HK_pooled,pooled,1.1470442372383192,-2.789827753605288,5.083916228081926,1.0,2.2508348741555126
PLG,study,GSE142025_C1,-1.6235924605992151,-2.520293553876687,-0.7268913673217435,0.2967548884404126,0.2955205472497618
PLG,study,GSE96804,-1.0840249827336494,-1.654406497504821,-0.513643467962478,0.394021158415988,0.2955205472497618
PLG,study,GSE30528,-0.181900302792023,-1.0338810735906196,0.6700804680065736,0.30922395314359946,0.2955205472497618
PLG,modified_HK_pooled,pooled,-0.9651857096737662,-2.6967770303655705,0.7664056110180384,1.0,0.2955205472497618
VCAM1,study,GSE142025_C1,1.433092318414912,0.5606512341403785,2.3055334026894454,0.2581405854084673,0.0462539190246708
VCAM1,study,GSE96804,0.6635662621121067,0.11529627738764414,1.2118362468365693,0.5067089914852786,0.0462539190246708
VCAM1,study,GSE30528,1.1080840486910402,0.18453540228463117,2.031632695097449,0.2351504231062542,0.0462539190246708
VCAM1,modified_HK_pooled,pooled,0.9667407143654738,-0.1139582618098833,2.047439690540831,1.0,0.0462539190246708
VWF,study,GSE142025_C1,2.1535789238612337,1.1780673415482759,3.1290905061741916,0.2621223020079599,0.1029790324777081
VWF,study,GSE96804,1.174285511013975,0.5979203705093141,1.7506506515186357,0.4852126550669302,0.1029790324777081
VWF,study,GSE30528,1.621668411820418,0.6206441402278027,2.6226926834130335,0.25266504292511005,0.1029790324777081
VWF,modified_HK_pooled,pooled,1.54401817456695,0.2394925465067774,2.848543802627123,1.0,0.1029790324777081
