gene_symbol,mapping_status,n_samples,n_dkd,n_control,n_male,n_female,unadjusted_mean_difference,unadjusted_welch_p,sex_adjusted_disease_beta,sex_adjusted_disease_se,sex_adjusted_disease_p,direction_changed_after_sex_adjustment,sex_adjusted_fdr_bh_145
C1S,MAPPED,61.0,41.0,20.0,43.0,18.0,0.39806421951219395,5.282111765400734e-05,0.3981850288350636,0.1228700649648242,0.0019769918145271857,False,0.0051623271721179765
VEGFA,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.4988434146341447,0.0006696944147819238,-0.4994095213379457,0.18458405476428627,0.008937695256613113,False,0.018253039608576077
CFD,MAPPED,61.0,41.0,20.0,43.0,18.0,0.06457224390243965,0.28181360480226947,0.06438355824682838,0.06494684751511794,0.3256437691595223,False,0.42925769571027944
ITGAM,MAPPED,61.0,41.0,20.0,43.0,18.0,0.13789748780487798,0.17521253424932307,0.13823325836216896,0.11487105206971482,0.23371907866226493,False,0.32275491815265156
LAMC1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.6324238414634156,6.279012076398832e-07,0.6311205305651683,0.14897452796567112,8.226704772343973e-05,False,0.0005186400834738591
TIMP1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.28274093902438935,0.021204341975137837,0.28153375432526,0.13751009223465702,0.04516052295738437,False,0.07889488950386425
C1QA,MAPPED,61.0,41.0,20.0,43.0,18.0,0.42674606097560996,0.000235673340210994,0.42755932525951595,0.1121433862555416,0.00033534333601435967,False,0.0012467893262072345
CCR2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.4639533902439026,0.0010245681064495588,0.4641889100346025,0.17593551743422187,0.010677482541087246,False,0.021503263450800707
PECAM1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.5666079268292687,0.0001911063347284425,0.5672501153402549,0.16575603303756326,0.0011448506619752528,False,0.0031923720382002244
ITGAL,MAPPED,61.0,41.0,20.0,43.0,18.0,0.11639621951219414,0.29116040724787695,0.11701651095732496,0.1088870143980762,0.28697747705222554,False,0.3817590291061716
FLT1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.689686341463414,0.0001439416689039885,-0.6888454094579,0.21475199830931185,0.0021799832391634225,False,0.005545571397871865
MMP7,MAPPED,61.0,41.0,20.0,43.0,18.0,2.294778341463415,2.8842658954760176e-05,2.295321153402539,0.6415922779338941,0.0007082314148406779,False,0.0022820790033755175
CCR5,MAPPED,61.0,41.0,20.0,43.0,18.0,0.17529814634146312,0.023950618707731408,0.17563997693194983,0.07607151732691003,0.024533294641985698,False,0.04446659653859908
CSF1R,MAPPED,61.0,41.0,20.0,43.0,18.0,0.50053943902439,0.00048151974342836224,0.5000102710495973,0.15680129266403578,0.0023040861693745013,False,0.005760215423436253
LUM,MAPPED,61.0,41.0,20.0,43.0,18.0,3.033962268292682,1.913044390395625e-09,3.032650559400232,0.5389151933178231,5.559874094822546e-07,False,1.1516882053560989e-05
F11,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.6660634024390246,2.3917736565888724e-05,-0.665852716262976,0.15570344196297117,7.18042983059323e-05,False,0.0004957915835409612
COL1A1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.8202243292682923,6.761791235983259e-09,0.8190199480968876,0.16162394393894403,4.3988083823320965e-06,False,5.7027207961586646e-05
COL1A2,MAPPED,61.0,41.0,20.0,43.0,18.0,1.5684545487804877,5.814996717482246e-09,1.5672986159169566,0.3090713212070368,4.342358326021919e-06,False,5.7027207961586646e-05
F3,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.7411217073170739,5.5996697892028744e-05,-0.7407943137254904,0.22879163000747868,0.001993726356128322,False,0.0051623271721179765
ADAMTS2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.21725682926829126,3.450090906627739e-06,0.21683685121107338,0.05413731685719672,0.0001785526145406267,False,0.000827826384002246
CFH,MAPPED,61.0,41.0,20.0,43.0,18.0,1.1430474634146304,0.00015188371209980326,1.1436408304498282,0.324558656961984,0.0008376230027131954,False,0.0025841560722002837
MMP14,MAPPED,61.0,41.0,20.0,43.0,18.0,0.7382563048780497,0.00014509595297842792,0.7361813148788938,0.24213246478243128,0.0035423558960566404,False,0.008284542014971176
LOX,MAPPED,61.0,41.0,20.0,43.0,18.0,-1.7840439024390236,1.4932671227865354e-11,-1.7812357612456744,0.27521935222339305,2.2445674759235775e-08,False,8.136557100222969e-07
VWF,MAPPED,61.0,41.0,20.0,43.0,18.0,0.47219881707317146,2.6443124654240545e-07,0.47233503460207676,0.10918196750134786,6.0585451413245004e-05,False,0.00043924452274602625
VSIG4,MAPPED,61.0,41.0,20.0,43.0,18.0,1.2643568292682934,1.984410043330709e-06,1.2643586735870826,0.32209386923050937,0.00023228400814522034,False,0.0009906229759134397
ITGB2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.10904215853658616,0.21699041899982324,0.10884540945790118,0.08941876616740489,0.22843696037141578,False,0.3184938389793778
C1QC,MAPPED,61.0,41.0,20.0,43.0,18.0,1.5662532195121956,0.0001812403490138145,1.5670963610149955,0.4337144849757996,0.0006332972517846489,False,0.002087002307017593
KDR,MAPPED,61.0,41.0,20.0,43.0,18.0,-1.179335,1.362057637348364e-06,-1.178077474048443,0.27671007723367314,7.659719712199784e-05,False,0.0005048451628495311
C3AR1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.5925024999999993,0.03339939067265436,0.5927506228373708,0.29450038095866155,0.04879311176319312,False,0.08422620482932146
FN1,MAPPED,61.0,41.0,20.0,43.0,18.0,3.9115869390243905,1.844776360245044e-12,3.9084407727797017,0.5774543010690983,7.1709864524153475e-09,False,5.198965178001127e-07
MMP2,MAPPED,61.0,41.0,20.0,43.0,18.0,1.4290135000000008,9.245807340109311e-10,1.427354307958479,0.26077559826460894,9.872554101809716e-07,False,1.789400430953011e-05
COL4A1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.7121019390243895,7.884170747306825e-05,0.71212220876586,0.21616874895991536,0.0016853840951417556,False,0.004525568403621381
PLG,MAPPED,61.0,41.0,20.0,43.0,18.0,-1.249418731707319,2.8041086939239206e-05,-1.2480783679354093,0.31214580891220206,0.00018269271922808185,False,0.000827826384002246
COL4A2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.5152114268292678,7.023607633677125e-06,0.5148201903114191,0.13236482405103672,0.00026133388968325094,False,0.0010826689715448968
C7,MAPPED,61.0,41.0,20.0,43.0,18.0,1.9749616829268302,1.5593480672216698e-05,1.9753005997693218,0.5133013191123504,0.0002988099894474692,False,0.001140196012365343
C1QB,MAPPED,61.0,41.0,20.0,43.0,18.0,0.4324259634146328,0.019972167477868067,0.4338200980392164,0.17947695988850182,0.018808245212613237,False,0.03496404558755025
FGF2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2980810243902443,2.2477858182124737e-05,0.29783476931949365,0.07340667186863459,0.00015023996656642782,False,0.0007736087864635583
EMCN,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.5348602439024379,1.632082463203671e-05,-0.5340559400230682,0.15367605641888835,0.0009730457310442821,False,0.002766502568655312
F13A1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.12842632926829278,0.6293760739690801,0.12847506920415205,0.2837628608933355,0.6524142321772972,False,0.7629037392395814
C3,MAPPED,61.0,41.0,20.0,43.0,18.0,1.9642729024390233,6.079416597962803e-06,1.9642141637831623,0.5347571364773339,0.000524163801745964,False,0.0017675290989108087
CX3CR1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.3199789756097555,0.05068987573107415,0.3206314763552483,0.15105733132843502,0.038069305500080405,False,0.06731767435989829
C5,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.1264744024390252,0.12216995894781096,-0.12444679354094548,0.07869656122503262,0.11923655403130899,False,0.18792717754934568
CR1,MAPPED,61.0,41.0,20.0,43.0,18.0,-1.544674634146343,1.6748274369763713e-07,-1.5438400922722024,0.34714595961450084,3.991237282474406e-05,False,0.00030459442418883623
BNIP3,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.7761152560975582,3.788331364714215e-09,-0.7760195617070356,0.12131266781483557,2.9957175638283194e-08,False,8.687580935102126e-07
ADAMTS5,MAPPED,61.0,41.0,20.0,43.0,18.0,1.046792609756098,7.445475749275702e-06,1.0475398154555946,0.2114922186223045,6.656724529583134e-06,False,7.386901744383343e-05
SPARC,MAPPED,61.0,41.0,20.0,43.0,18.0,0.0334743902439083,0.6307531680978988,0.0326820645905439,0.07527540135135373,0.6657783452265751,False,0.7723028804628271
CSF1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.24889117073170652,0.0004981459183963619,0.2488428546712804,0.06680863277132772,0.0004447644676267618,False,0.0016122711951470116
SERPINC1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.258082219512195,0.019432317876951186,-0.25741438292964214,0.08513022008375874,0.0037145775280334335,False,0.0085494244692833
