gene_symbol,n_paired_donors,paired_donor_ids,pearson_r,p_value,interpretation_limit
C1S,9,62;67;76;77;81;82;164;168;178,0.9642122861477693,2.7567508270333816e-05,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
VEGFA,9,62;67;76;77;81;82;164;168;178,0.7534347396902576,0.01906924124086547,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CFD,9,62;67;76;77;81;82;164;168;178,0.46539952176988475,0.20678594370502618,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ITGAM,9,62;67;76;77;81;82;164;168;178,0.8972952221967947,0.001032577659402228,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LAMC1,9,62;67;76;77;81;82;164;168;178,-0.15472225985139493,0.6910227806624717,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
TIMP1,9,62;67;76;77;81;82;164;168;178,-0.7336531750321633,0.02445962627844319,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C1QA,9,62;67;76;77;81;82;164;168;178,0.7517961811373146,0.01948242351820147,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCR2,9,62;67;76;77;81;82;164;168;178,0.7815495649287828,0.012860163591919778,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PECAM1,9,62;67;76;77;81;82;164;168;178,0.10498413420386753,0.7880827026169086,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ITGAL,9,62;67;76;77;81;82;164;168;178,0.7251460099632396,0.0270562450077555,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
FLT1,9,62;67;76;77;81;82;164;168;178,0.714323405084641,0.030612457844943982,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
MMP7,9,62;67;76;77;81;82;164;168;178,0.9674479161665632,1.9848950934243482e-05,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CCR5,9,62;67;76;77;81;82;164;168;178,0.15818461704700354,0.6843930792180352,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CSF1R,9,62;67;76;77;81;82;164;168;178,0.7346947514117712,0.02415346715731477,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LUM,9,62;67;76;77;81;82;164;168;178,0.888114543698618,0.0013804872120911757,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F11,9,62;67;76;77;81;82;164;168;178,0.1715678742005165,0.6589451043321167,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
COL1A1,9,62;67;76;77;81;82;164;168;178,0.9234550580910603,0.00037885604441376477,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
COL1A2,9,62;67;76;77;81;82;164;168;178,0.8074310035643844,0.008498711917002183,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
F3,9,62;67;76;77;81;82;164;168;178,0.4416549734794707,0.23398531773425316,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ADAMTS2,9,62;67;76;77;81;82;164;168;178,-0.03689757007724839,0.9249181142504078,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
CFH,9,62;67;76;77;81;82;164;168;178,0.21462346269492494,0.5792101135803809,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
MMP14,9,62;67;76;77;81;82;164;168;178,-0.023332467526878092,0.9524890462637629,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
LOX,9,62;67;76;77;81;82;164;168;178,0.3465407319769455,0.36092021325339124,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
VWF,9,62;67;76;77;81;82;164;168;178,0.1853722454592504,0.6330101460601814,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
VSIG4,9,62;67;76;77;81;82;164;168;178,0.5427083104399695,0.13109922965845966,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
ITGB2,9,62;67;76;77;81;82;164;168;178,0.9046378606461727,0.0008023897880327579,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C1QC,0,,,,
KDR,9,62;67;76;77;81;82;164;168;178,0.3645577712679645,0.3347409700726105,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
C3AR1,9,62;67;76;77;81;82;164;168;178,0.5409658933048348,0.13258800221276967,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
FN1,9,62;67;76;77;81;82;164;168;178,0.3347494280923799,0.3785670139836617,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
MMP2,9,62;67;76;77;81;82;164;168;178,0.17825383367252357,0.6463426672269917,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
COL4A1,9,62;67;76;77;81;82;164;168;178,0.14895882757748147,0.7020987848464761,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
PLG,9,62;67;76;77;81;82;164;168;178,-0.1635947621317218,0.6740711342357464,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
COL4A2,9,62;67;76;77;81;82;164;168;178,-0.7486027288075348,0.020304664073030783,expression correlation across inferred cross-compartment donor pairs; not an estimate of covariance between cohort-level disease effects
