cohort,gene_symbol,theme,candidate_source_row,platform,tissue,processing,expression_scale,contrast,n_case,n_control,case_ids,control_ids,input_path,expression_source_row,selected_probe_id,effect_definition,variance_definition,analysis_code_path,analysis_function,analysis_code_line,mapping_status,case_mean,control_mean,case_sd,control_sd,raw_mean_difference,hedges_g,variance,se
GSE142025_C1,C1S,COMPLEMENT_ACTIVATION,2,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,1749.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,13.45752380952381,11.34681111111111,0.6531828755446379,0.3033985062769936,2.1107126984126996,3.56930762302155,0.40316524905555684,0.6349529502691966
GSE142025_C1,VEGFA,HYPOXIA,3,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,16078.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,12.765195238095238,13.947099999999999,0.49387710564085713,0.14398031983573278,-1.181904761904761,-2.709373898715539,0.29957257858896613,0.547332237849157
GSE142025_C1,CFD,COMPLEMENT_ACTIVATION,4,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,2597.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,9.817057142857143,7.43954,0.7132097739034627,0.4742027337278857,2.377517142857143,3.5376468915726216,0.39884806988621074,0.6315441947213281
GSE142025_C1,ITGAM,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,5,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,6754.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,10.30295380952381,8.908993333333335,0.5976151811950245,0.21733647864544045,1.3939604761904754,2.6169740071364394,0.2901298700507219,0.5386370485314966
GSE142025_C1,LAMC1,ECM_REMODELING,6,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,7265.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,13.476566666666667,12.845144444444445,0.29029819037212984,0.09303324823834681,0.6314222222222217,2.45413209919904,0.2742858832182456,0.5237230978467969
GSE142025_C1,TIMP1,ECM_REMODELING,7,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,14851.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,12.472871428571429,10.253257777777778,0.8317497941946589,0.47734835148918725,2.219613650793651,2.88784932281718,0.3187392475884789,0.5645699669558051
GSE142025_C1,C1QA,COMPLEMENT_ACTIVATION,8,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,1734.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,12.16728095238095,10.23934888888889,0.7208740435187325,0.41531671220420585,1.9279320634920616,2.8928522886011008,0.3192941334742997,0.5650611767537208
GSE142025_C1,CCR2,MACROPHAGE_RECRUITMENT,9,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,2255.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,9.604612857142858,6.884678888888889,0.9089407829454176,0.6274515179367337,2.7199339682539687,3.1572031242587704,0.34997980508145077,0.5915909102424164
GSE142025_C1,PECAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,10,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,10777.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,11.842809523809525,11.14781111111111,0.2566492507387504,0.1605784344521737,0.6949984126984141,2.8988085898007636,0.31995600754640374,0.5656465394099073
GSE142025_C1,ITGAL,LEUKOCYTE_ADHESION,11,GPL20301; Illumina HiSeq 4000 RNA-seq,whole kidney biopsy,project frozen clean matrix,log2-transformed quantile-normalized expression,Advanced_DKD_vs_Control_only,21,9,GSM4217781;GSM4217782;GSM4217783;GSM4217784;GSM4217785;GSM4217786;GSM4217787;GSM4217788;GSM4217789;GSM4217790;GSM4217791;GSM4217792;GSM4217793;GSM4217794;GSM4217795;GSM4217796;GSM4217797;GSM4217798;GSM4217799;GSM4217800;GSM4217801,GSM4217808;GSM4217809;GSM4217810;GSM4217811;GSM4217812;GSM4217813;GSM4217814;GSM4217815;GSM4217816,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\data_processed\GSE142025\expression_matrix_clean.csv,6753.0,,Hedges g standardized mean difference (case minus control),statsmodels.effectsize_smd sampling variance,C:\Users\denglizhen\Documents\凝血通讯轴\release_m18_repository\scripts\stage21_m8_validation\run_m8_analysis.py,build_per_cohort_effect_sizes; hedges_g_from_samples,647,MAPPED_EFFECT_ESTIMATED,11.26367,9.373937777777778,0.9271418028004129,0.2570361085420576,1.8897322222222215,2.311232087820047,0.26122044583240384,0.5110972958570646
