gene_symbol,focused_pathways,analysis_family,primary_estimand,included_studies,complete_three_study_mapping,discovery_direction,pooled_direction,direction_matches_discovery,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_145_family,fdr_bh_145_family,fdr_lt_0_05,model,inference_df,prediction_interval_df,excluded_sample_ids,excluded_n,sensitivity_scope
C1S,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.5029086277919679,2.2014594259702127,1.0401266214180622,0.9166155789990821,0.9166155789990821,-2.440969895270442,5.446787150854378,-2.440969895270442,5.446787150854378,0.24275932810796233,0.24275932810796233,-20.65710419996685,23.662921455550784,-20.65710419996685,23.662921455550784,16.339047671261216,87.75938451102138,0.24275932810796233,0.5123865371077093,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
VEGFA,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-1.6710753205084254,1.020784533361024,0.9593616687664609,0.6300981664046182,0.6433051596376664,-4.38216891616579,1.0400182751489393,-4.438994021651043,1.0968433806341922,0.11761487490078604,0.12172363479834637,-16.80057602083629,13.458425379819438,-16.89004342747413,13.547892786457277,13.611110786859575,85.30612209893378,0.12172363479834637,0.42096059015048937,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
CFD,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.4818278222401182,3.182214009309974,1.017630368288429,1.0771694783034353,1.0771694783034353,-3.152858373927527,6.116514018407763,-3.152858373927527,6.116514018407763,0.30272923651271155,0.30272923651271155,-24.996232497811793,27.959888142292026,-24.996232497811793,27.959888142292026,26.598531687434217,92.48078794911507,0.30272923651271155,0.5888306629226111,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
ITGAM,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.2595795585930196,1.5651108382832177,0.9934964871516437,0.7650200736598957,0.7675199326276347,-2.0320361496120736,4.551195266798113,-2.0427921746234716,4.561951291809511,0.24141697846055044,0.2424688952777516,-17.372961928939418,19.89212104612546,-17.38955258751998,19.908711704706022,19.73119858090755,89.86376832710377,0.2424688952777516,0.5123865371077093,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
LAMC1,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.3656149102473345,0.33670594726982944,1.0806432544040945,0.43183901559594373,0.43183901559594373,-0.49243840899584757,3.2236682294905163,-0.49243840899584757,3.2236682294905163,0.08712683832109065,0.08712683832109065,-7.825028845737275,10.556258666231944,-7.825028845737275,10.556258666231944,5.423520623187133,63.123584495107906,0.08712683832109065,0.42096059015048937,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
TIMP1,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.7895459152979998,2.79210988569592,1.0238914849936238,1.0102362234074458,1.0102362234074458,-3.557149728983968,5.136241559579967,-3.557149728983968,5.136241559579967,0.5163106817250506,0.5163106817250506,-24.02072074706052,25.599812577656518,-24.02072074706052,25.599812577656518,23.148316681330165,91.36006290421513,0.5163106817250506,0.7995223807522984,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
C1QA,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,2.2143160236020303,1.4971248363017182,0.9529333719833608,0.7520410136054532,0.7703893278924924,-1.021455296430926,5.450087343634987,-1.100401720983378,5.529033768187439,0.09858415323053087,0.10272822279876467,-16.034424054349465,20.463056101553526,-16.157575487092345,20.586207534296406,16.465275721390064,87.85322496967484,0.10272822279876467,0.42096059015048937,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
CCR2,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.6198759350744134,1.397472723230125,1.0095114085408976,0.7380608484554376,0.7380608484554376,-1.555743589214226,4.795495459363053,-1.555743589214226,4.795495459363053,0.1593948498264375,0.1593948498264375,-16.087881117480777,19.327632987629606,-16.087881117480777,19.327632987629606,15.130724618178654,86.7818623993915,0.1593948498264375,0.4360802495251592,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
PECAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.173661538242034,2.2029614197121985,1.0278100774245214,0.9075478599371158,0.9075478599371158,-2.7312017386462895,5.078524815130357,-2.7312017386462895,5.078524815130357,0.32516614297555124,0.32516614297555124,-20.931499764490844,23.27882284097491,-20.931499764490844,23.27882284097491,19.220375742792918,89.59437616223532,0.32516614297555124,0.6044755221981402,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
ITGAL,LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.1848213065910989,1.1926457747247101,0.9722506825821823,0.6701219907653603,0.6796177946915747,-1.6984809062048913,4.068123519387089,-1.7393380528886773,4.108980666070875,0.21907928879966673,0.2233913819383554,-15.095537509571214,17.465180122753413,-15.1589645360415,17.5286071492237,17.400941748221214,88.50636920151493,0.2233913819383554,0.5123865371077093,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
