gene_symbol,focused_pathways,analysis_family,primary_estimand,included_studies,complete_three_study_mapping,discovery_direction,pooled_direction,direction_matches_discovery,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_145_family,fdr_bh_145_family,fdr_lt_0_05,model,inference_df,prediction_interval_df
C1S,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.584914686836851,2.395687658342402,1.0370096485889428,0.950808359201905,0.950808359201905,-2.5060834953011355,5.675912868974837,-2.5060834953011355,5.675912868974837,0.23746000486110003,0.23746000486110003,-21.4960878882215,24.6659172618952,-21.4960878882215,24.6659172618952,17.656784352923264,88.67290917743537,0.23746000486110003,0.4861768554710769,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
VEGFA,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-1.7187141446213838,0.8681281606734229,0.9546715447337365,0.5866696791000208,0.6004359046086679,-4.242950040831047,0.80552175158828,-4.302181328593441,0.8647530393506735,0.09943854715056644,0.1034520736813314,-15.708871467668116,12.271443178425349,-15.802849662660144,12.365421373417377,12.10165955118935,83.47334106086764,0.1034520736813314,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
CFD,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.5449723872459278,2.585458628244825,1.0206431210367242,0.977656501749174,0.977656501749174,-2.661544028710336,5.751488803202191,-2.661544028710336,5.751488803202191,0.254823731143461,0.254823731143461,-22.365900020579854,25.45584479507171,-22.365900020579854,25.45584479507171,22.72600225121949,91.1995080441714,0.254823731143461,0.4861768554710769,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
ITGAM,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.345031374693648,1.1405811364068736,0.9945097418563357,0.6649267848215122,0.6667596452894973,-1.5159176710667108,4.205980420454007,-1.5238038331624388,4.213866582549735,0.1804322954348907,0.18117400041478662,-14.640105256485985,17.33016800587328,-14.652426353764174,17.34248910315147,15.145982486502584,86.79517818152563,0.18117400041478662,0.4378371676690677,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
LAMC1,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.4632475982676554,0.36081045871585743,1.0912013978929878,0.4433607362069588,0.4433607362069588,-0.44437968361330715,3.3708748801486177,-0.44437968361330715,3.3708748801486177,0.08083237585653479,0.08083237585653479,-8.02292950003163,10.94942469656694,-8.02292950003163,10.94942469656694,5.589079442550067,64.21593179059408,0.08083237585653479,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
TIMP1,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.8878454369047476,2.961673355703242,1.0222720399197074,1.0372931169422124,1.0372931169422124,-3.5752666242016815,5.3509574980111765,-3.5752666242016815,5.3509574980111765,0.48221771020631965,0.48221771020631965,-24.64388223540502,26.419573109214515,-24.64388223540502,26.419573109214515,24.731586428530644,91.91317546175372,0.48221771020631965,0.7529520984391582,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
C1QA,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,2.2897412173349294,1.3059700980775806,0.9466156503244526,0.7068593418585836,0.7265176371803943,-0.7516290594241233,5.331111494093982,-0.8362118774516856,5.415694312121545,0.08353256668640424,0.08764175493328093,-14.784014147743411,19.36349658241327,-14.91672132270312,19.496203757372978,14.842541734515653,86.52521895660841,0.08764175493328093,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
CCR2,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.701490689087979,1.3025845576024577,1.0143914455451124,0.7166881771856795,0.7166881771856795,-1.3821696528209368,4.785151030996895,-1.3821696528209368,4.785151030996895,0.14087539275697175,0.14087539275697175,-15.422337157134098,18.825318535310057,-15.422337157134098,18.825318535310057,14.143948358387012,85.85967687859912,0.14087539275697175,0.38824154143590667,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
PECAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.1470442372383192,2.2508348741555126,1.0275081378038609,0.9149871574975175,0.9149871574975175,-2.7898277536052882,5.083916228081926,-2.7898277536052882,5.083916228081926,0.3366597776781346,0.3366597776781346,-21.181327420542665,23.475415895019303,-21.181327420542665,23.475415895019303,19.872991899429906,89.93609009593884,0.3366597776781346,0.5881405754618014,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
ITGAL,LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.2822252143625221,0.903513115180041,0.9686127869551575,0.5933588903585355,0.6028959338404136,-1.2707920349281043,3.835242463653149,-1.311826621098638,3.876277049823682,0.16325707172100365,0.16729291262519225,-12.955460686801203,15.519911115526249,-13.0199988445188,15.584449273243846,13.742229368435726,85.44632063416316,0.16729291262519225,0.41823228156298065,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
