dataset,sample_id,disease_group,genes_used,median_sample_correlation,robust_z_median_correlation,predefined_outlier_flag,outlier_rule
GSE142025 C1,GSM4217781,Advanced_DKD,1000,0.5797001145284516,-3.259256939358187,True,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217782,Advanced_DKD,1000,0.717713223324986,0.4611513826652021,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217783,Advanced_DKD,1000,0.7582307350678001,1.5533787021575618,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217784,Advanced_DKD,1000,0.7245999922940073,0.6467974622848697,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217785,Advanced_DKD,1000,0.6928989212876404,-0.20776577027745113,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217786,Advanced_DKD,1000,0.697400618526667,-0.08641387829163097,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217787,Advanced_DKD,1000,0.5160555436476725,-4.9749185400655245,True,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217788,Advanced_DKD,1000,0.703728649727666,0.08417035205802655,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217789,Advanced_DKD,1000,0.7148752240382644,0.3846476631541718,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217790,Advanced_DKD,1000,0.7441437643088198,1.1736373594632605,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217791,Advanced_DKD,1000,0.7382557405223154,1.0149143737512478,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217792,Advanced_DKD,1000,0.7173404376644659,0.4511022294664671,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217793,Advanced_DKD,1000,0.7086057322604029,0.2156414753463156,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217794,Advanced_DKD,1000,0.7192573562769473,0.5027764510002448,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217795,Advanced_DKD,1000,0.6682131067998559,-0.8732192946356042,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217796,Advanced_DKD,1000,0.7244651945002504,0.6431637289528935,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217797,Advanced_DKD,1000,0.6599094847733924,-1.0970593686660741,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217798,Advanced_DKD,1000,0.6982806523652016,-0.0626908765775456,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217799,Advanced_DKD,1000,0.637340853476604,-1.7054401552842045,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217800,Advanced_DKD,1000,0.7271584111056004,0.7157645533160898,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217801,Advanced_DKD,1000,0.6725260294210201,-0.7569561849068185,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217808,Control,1000,0.717713223324986,0.4611513826652021,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217809,Control,1000,0.6674183556653639,-0.8946433373260755,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217810,Control,1000,0.6725611705088576,-0.7560088894160109,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217811,Control,1000,0.6745578686814716,-0.7021840566683208,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217812,Control,1000,0.6317982211436542,-1.854852451240977,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217813,Control,1000,0.6536823433284802,-1.264923921939943,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217814,Control,1000,0.7185314806196631,0.48320907903345817,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217815,Control,1000,0.6777475960366054,-0.6161988317827599,False,robust z of median Pearson correlation below -3
GSE142025 C1,GSM4217816,Control,1000,0.702931842245855,0.0626908765775456,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544275,DKD,1000,0.877279290538606,0.32598188875737455,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544276,DKD,1000,0.8116474391960627,-2.0067321369316904,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544277,DKD,1000,0.8876568151965487,0.6948241021999408,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544278,DKD,1000,0.8699515301267012,0.06553563986938893,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544279,DKD,1000,0.865250816780653,-0.10153903086997926,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544280,DKD,1000,0.8828534222097375,0.5240999497948748,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544281,DKD,1000,0.8869607113954634,0.6700828970242366,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544282,DKD,1000,0.8230536389976858,-1.6013283320292568,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544283,DKD,1000,0.8729577403181945,0.17238358845559792,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544284,DKD,1000,0.8881829497705013,0.7135241917898794,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544285,DKD,1000,0.8808366173242325,0.45241784808267993,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544286,DKD,1000,0.8708550910072562,0.09765036916650868,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544287,DKD,1000,0.9054734675359541,1.3280708254417182,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544288,DKD,1000,0.8561510591751553,-0.42496632664939055,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544289,DKD,1000,0.8857466010147961,0.6269304907491831,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544290,DKD,1000,0.8406931561693861,-0.9743774191554048,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544291,DKD,1000,0.8394358420854147,-1.0190653890721613,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544292,DKD,1000,0.8824621015914065,0.5101914727940076,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544293,DKD,1000,0.7062661528180176,-5.752236792837625,True,robust z of median Pearson correlation below -3
GSE96804,GSM2544294,DKD,1000,0.8383697346745397,-1.0569574134378839,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544295,DKD,1000,0.8103680588801254,-2.05220439386379,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544296,DKD,1000,0.8133366464895608,-1.9466936424319166,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544297,DKD,1000,0.8764962272892736,0.29814993540920925,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544298,DKD,1000,0.8362093754672331,-1.1337417813983226,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544299,DKD,1000,0.6754736665201998,-6.846675898293683,True,robust z of median Pearson correlation below -3
GSE96804,GSM2544300,DKD,1000,0.8794910447711359,0.4045929596636648,False,robust z of median Pearson correlation below -3
