dataset,sample_1,sample_2,pearson_correlation
GSE142025 C1,GSM4217781,GSM4217782,0.6874422073828121
GSE142025 C1,GSM4217781,GSM4217783,0.6429461754418156
GSE142025 C1,GSM4217781,GSM4217784,0.692958914083777
GSE142025 C1,GSM4217781,GSM4217785,0.6595474681056088
GSE142025 C1,GSM4217781,GSM4217786,0.6372415198427446
GSE142025 C1,GSM4217781,GSM4217787,0.4833766841889052
GSE142025 C1,GSM4217781,GSM4217788,0.5780868489862473
GSE142025 C1,GSM4217781,GSM4217789,0.5695872986817417
GSE142025 C1,GSM4217781,GSM4217790,0.641537370920297
GSE142025 C1,GSM4217781,GSM4217791,0.701935409390938
GSE142025 C1,GSM4217781,GSM4217792,0.5980776493974306
GSE142025 C1,GSM4217781,GSM4217793,0.6036594498257427
GSE142025 C1,GSM4217781,GSM4217794,0.5656120782844903
GSE142025 C1,GSM4217781,GSM4217795,0.5797001145284516
GSE142025 C1,GSM4217781,GSM4217796,0.6709785423140423
GSE142025 C1,GSM4217781,GSM4217797,0.5006478063045681
GSE142025 C1,GSM4217781,GSM4217798,0.6669583913577254
GSE142025 C1,GSM4217781,GSM4217799,0.5815227344225636
GSE142025 C1,GSM4217781,GSM4217800,0.5588499635181001
GSE142025 C1,GSM4217781,GSM4217801,0.6091186966491557
GSE142025 C1,GSM4217781,GSM4217808,0.5547119299244009
GSE142025 C1,GSM4217781,GSM4217809,0.5431306229109949
GSE142025 C1,GSM4217781,GSM4217810,0.5047493592740632
GSE142025 C1,GSM4217781,GSM4217811,0.5195699720816158
GSE142025 C1,GSM4217781,GSM4217812,0.47888421646660245
GSE142025 C1,GSM4217781,GSM4217813,0.5301017736667281
GSE142025 C1,GSM4217781,GSM4217814,0.5777379357193837
GSE142025 C1,GSM4217781,GSM4217815,0.5346238346543322
GSE142025 C1,GSM4217781,GSM4217816,0.6042288333119226
GSE142025 C1,GSM4217782,GSM4217783,0.7994939494083164
GSE142025 C1,GSM4217782,GSM4217784,0.8462216640055904
GSE142025 C1,GSM4217782,GSM4217785,0.8306133360710085
GSE142025 C1,GSM4217782,GSM4217786,0.8069122150827773
