gene_symbol,theme,module,gene_module_membership,gene_significance_for_DKD,is_module_hub_candidate,module_trait_correlation_with_DKD,module_trait_pvalue,direction_concordant,external_fdr_lt_0_05,gse30528_hedges_g,mapped_to_wgcna_top_5000,in_black_module,descriptive_class,interpretation_limit
C1S,COMPLEMENT_ACTIVATION,black,0.857904938079278,0.391409712627878,True,0.51054417915688,2.62610862139044e-05,True,False,0.4858940690057541,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
VEGFA,HYPOXIA,turquoise,0.885342288340451,-0.334011602127555,True,-0.550093800089026,4.38296934122209e-06,True,True,-1.9419375363079576,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CFD,COMPLEMENT_ACTIVATION,,,,,,,True,False,1.0171379830137932,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ITGAM,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,black,0.769680271945638,0.155512321166334,False,0.51054417915688,2.62610862139044e-05,True,False,1.275508058746909,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LAMC1,ECM_REMODELING,black,0.84366436395606,0.482632772039694,True,0.51054417915688,2.62610862139044e-05,True,False,0.9822006510640064,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
TIMP1,ECM_REMODELING,black,0.745236053161151,0.257859592010004,False,0.51054417915688,2.62610862139044e-05,False,False,-0.690942821080792,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C1QA,COMPLEMENT_ACTIVATION,black,0.853155481632891,0.444154597567531,True,0.51054417915688,2.62610862139044e-05,True,True,3.2526319624482727,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCR2,MACROPHAGE_RECRUITMENT,black,0.828501826199428,0.327131910978024,True,0.51054417915688,2.62610862139044e-05,True,True,1.4421580117060475,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
PECAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,black,0.404024218083996,0.408724835467258,False,0.51054417915688,2.62610862139044e-05,False,False,-0.2853082537949854,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ITGAL,LEUKOCYTE_ADHESION,black,0.563019376327398,0.138335563812339,False,0.51054417915688,2.62610862139044e-05,True,True,1.4333012952293496,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
FLT1,ENDOTHELIAL_ACTIVATION,turquoise,0.824220065304634,-0.387804003416491,True,-0.550093800089026,4.38296934122209e-06,True,True,-1.764394614700592,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
MMP7,ECM_REMODELING,black,0.874517647939974,0.425068254642494,True,0.51054417915688,2.62610862139044e-05,True,True,1.649317232784598,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CCR5,MACROPHAGE_RECRUITMENT,,,,,,,True,True,1.7052733688788817,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CSF1R,MACROPHAGE_RECRUITMENT,black,0.870431837258257,0.386011376441165,True,0.51054417915688,2.62610862139044e-05,True,True,2.1109763527950585,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LUM,FIBROSIS,black,0.916629793167474,0.594104551169494,True,0.51054417915688,2.62610862139044e-05,True,True,1.9695671225388351,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F11,COAGULATION_CASCADE,blue,0.853186113806219,-0.48963738423955,True,-0.61222178676675,1.58062353464139e-07,True,False,-0.4316680825703484,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
COL1A1,FIBROSIS,black,0.940531048431539,0.551325284614137,True,0.51054417915688,2.62610862139044e-05,True,True,2.1097048478718863,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
COL1A2,FIBROSIS,black,0.967756393761802,0.553711267214298,True,0.51054417915688,2.62610862139044e-05,True,True,2.224604424410564,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
F3,COAGULATION_CASCADE,turquoise,0.915836758716962,-0.391311295035437,True,-0.550093800089026,4.38296934122209e-06,True,True,-2.2518698241820734,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ADAMTS2,ECM_REMODELING,,,,,,,True,False,1.1007752196549458,False,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
CFH,COMPLEMENT_ACTIVATION,black,0.817083759575153,0.419568237816859,True,0.51054417915688,2.62610862139044e-05,False,False,-0.653942240565657,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
MMP14,ECM_REMODELING,black,0.89266653980821,0.368155473102034,True,0.51054417915688,2.62610862139044e-05,True,False,0.7939373111783624,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
LOX,FIBROSIS,turquoise,0.869617237610098,-0.642306566567484,True,-0.550093800089026,4.38296934122209e-06,True,False,-0.3264604060234775,True,False,NEITHER_OR_NOT_IN_WGCNA_UNIVERSE,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
VWF,COAGULATION_CASCADE;ENDOTHELIAL_ACTIVATION,black,0.711045705463697,0.493736202332135,False,0.51054417915688,2.62610862139044e-05,True,True,1.621668411820418,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
VSIG4,COMPLEMENT_ACTIVATION,black,0.952841132861013,0.458165392799854,True,0.51054417915688,2.62610862139044e-05,True,True,2.337648905881267,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
ITGB2,COMPLEMENT_ACTIVATION;LEUKOCYTE_ADHESION,,,,,,,True,True,1.8071161559428155,False,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C1QC,COMPLEMENT_ACTIVATION,black,0.876991575758181,0.428261999540108,True,0.51054417915688,2.62610862139044e-05,False,False,,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
KDR,ENDOTHELIAL_ACTIVATION,turquoise,0.840301959265975,-0.487202567666175,True,-0.550093800089026,4.38296934122209e-06,True,True,-1.348410806513232,True,False,GSE30528_FDR_OUTSIDE_BLACK,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
C3AR1,COMPLEMENT_ACTIVATION,black,0.814401451683236,0.255393119569681,False,0.51054417915688,2.62610862139044e-05,True,True,1.7391130037391016,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
FN1,ECM_REMODELING,black,0.908999477520104,0.662940703430985,True,0.51054417915688,2.62610862139044e-05,True,False,0.5534212271861605,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
MMP2,ECM_REMODELING,black,0.948953112195637,0.581716769973842,True,0.51054417915688,2.62610862139044e-05,True,True,1.8363575768979763,True,True,BLACK_AND_GSE30528_FDR,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
COL4A1,ECM_REMODELING,black,0.828028563361127,0.39701028156766,True,0.51054417915688,2.62610862139044e-05,True,False,0.2378117773011565,True,True,BLACK_ONLY,"WGCNA was derived inside GSE96804 and is descriptive internal corroboration, not validation"
