cohort,source_study,compartment,reactome_id,reactome_name,genes_in_reference_set,genes_mapped,observed_mean_hedges_g,direction,permutation_method,permutation_allocations,two_sided_permutation_p,maxT_fwer_p,exchangeability_limit,bh_fdr_7_pathways,analysis_tier
GSE96804,GSE96804,glomerular,R-HSA-166658,Complement cascade,137,105,0.34284062879180577,UP,monte_carlo,10000,0.0053994600539946005,0.007799220077992201,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.009974002599740026,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,R-HSA-9769740,Coagulation pathway,58,56,-0.11686691362783587,DOWN,monte_carlo,10000,0.005699430056994301,0.6394360563943605,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.009974002599740026,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,R-HSA-202733,Cell surface interactions at the vascular wall,216,183,0.16963767697562854,UP,monte_carlo,10000,0.029797020297970205,0.32526747325267474,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.041715828417158284,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,R-HSA-380108,Chemokine receptors bind chemokines,57,49,0.08312769172167696,UP,monte_carlo,10000,0.46695330466953305,0.8552144785521448,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.46695330466953305,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,R-HSA-1474244,Extracellular matrix organization,321,293,0.36271336957247097,UP,monte_carlo,10000,9.999000099990002e-05,0.0046995300469953,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00034996500349965005,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,R-HSA-1234174,Cellular response to hypoxia,62,55,-0.42658951957627494,DOWN,monte_carlo,10000,9.999000099990002e-05,0.0006999300069993001,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00034996500349965005,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,R-HSA-170834,Signaling by TGF-beta Receptor Complex,94,90,-0.08696655112405231,DOWN,monte_carlo,10000,0.19158084191580843,0.8341165883411659,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.22351098223510982,primary glomerular meta-analysis
GSE30528,GSE30122,glomerular,R-HSA-166658,Complement cascade,137,59,0.551476799468845,UP,monte_carlo,10000,9.999000099990002e-05,0.0025997400259974,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00034996500349965005,primary glomerular meta-analysis
GSE30528,GSE30122,glomerular,R-HSA-9769740,Coagulation pathway,58,54,0.08696330367246335,UP,monte_carlo,10000,0.31986801319868013,0.9266073392660734,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.31986801319868013,primary glomerular meta-analysis
GSE30528,GSE30122,glomerular,R-HSA-202733,Cell surface interactions at the vascular wall,216,137,0.35700758245665826,UP,monte_carlo,10000,9.999000099990002e-05,0.09369063093690631,Conditional on exchangeability of archived case/control labels; maxT controls the fixed seven-pathway family but cannot remove unrecorded confounding.,0.00034996500349965005,primary glomerular meta-analysis
