compartment,reactome_id,reactome_name,n_source_studies,n_cohorts,n_positive,n_negative,n_maxT_fwer_lt_0_05,min_maxT_fwer_p,interpretation
glomerular,R-HSA-1234174,Cellular response to hypoxia,4,4,1,3,1,0.0006999300069993001,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
glomerular,R-HSA-1474244,Extracellular matrix organization,4,4,4,0,2,0.0046995300469953,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
glomerular,R-HSA-166658,Complement cascade,4,4,4,0,2,0.0025997400259974,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
glomerular,R-HSA-170834,Signaling by TGF-beta Receptor Complex,4,4,1,3,0,0.32966703329667035,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
glomerular,R-HSA-202733,Cell surface interactions at the vascular wall,4,4,4,0,1,0.026797320267973202,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
glomerular,R-HSA-380108,Chemokine receptors bind chemokines,4,4,4,0,2,0.0004999500049995,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
glomerular,R-HSA-9769740,Coagulation pathway,4,4,3,1,0,0.6394360563943605,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-1234174,Cellular response to hypoxia,1,1,1,0,0,0.2777222777222777,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-1474244,Extracellular matrix organization,1,1,1,0,0,0.6721278721278722,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-166658,Complement cascade,1,1,1,0,0,0.6733266733266733,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-170834,Signaling by TGF-beta Receptor Complex,1,1,1,0,0,0.7418581418581418,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-202733,Cell surface interactions at the vascular wall,1,1,1,0,0,0.5944055944055944,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-380108,Chemokine receptors bind chemokines,1,1,1,0,0,0.7050949050949051,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
interstitium only,R-HSA-9769740,Coagulation pathway,1,1,1,0,0,0.8649350649350649,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-1234174,Cellular response to hypoxia,2,2,1,1,0,0.49055094490550943,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-1474244,Extracellular matrix organization,2,2,2,0,0,0.1504849515048495,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-166658,Complement cascade,2,2,2,0,1,0.0115988401159884,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-170834,Signaling by TGF-beta Receptor Complex,2,2,2,0,0,0.5217478252174782,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-202733,Cell surface interactions at the vascular wall,2,2,2,0,0,0.16368363163683633,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-380108,Chemokine receptors bind chemokines,2,2,2,0,1,0.007599240075992401,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
tubulointerstitial,R-HSA-9769740,Coagulation pathway,2,2,1,1,0,0.8115188481151885,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-1234174,Cellular response to hypoxia,4,4,2,2,0,0.20477952204779523,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-1474244,Extracellular matrix organization,4,4,3,1,2,0.00029997000299970003,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-166658,Complement cascade,4,4,4,0,2,0.0006999300069993001,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-170834,Signaling by TGF-beta Receptor Complex,4,4,2,2,0,0.14935064935064934,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-202733,Cell surface interactions at the vascular wall,4,4,4,0,2,0.017316017316017316,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-380108,Chemokine receptors bind chemokines,4,4,3,1,2,0.00019998000199980003,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
whole/cortical kidney,R-HSA-9769740,Coagulation pathway,4,4,2,2,0,0.17618238176182383,All-tier study-wise association summary. Primary replication calls are restricted to the prespecified three-source glomerular analysis and are reported separately.
