gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
A2M,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.7550967987739825,0.0,0.405782992676492,0.21222592574990637,0.333158974268392,1.0796991854857785,2.4304944120621865,0.6948362520414284,2.815357345506537,0.0037030729797784584,0.013331239177391126,0.8419623400225412,2.6682312575254237,0.32162942869755473,3.1885641688504105,1.217348978029476,0.0,0.013331239177391126,0.4380293061545702,False
ACAN,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.025460440683558686,0.0,0.920335238109978,0.27293606886358973,0.2845036920483566,-0.8940648246171494,0.8431439432500321,-0.930878164282425,0.8799572829153076,0.9315590480199145,0.9343317020581144,-1.1998095624265703,1.1488886810594527,-1.2495810278992208,1.1986601465321032,2.761005714329934,0.0,0.9343317020581144,1.0,False
ACKR2,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE199838,3.0,0.42985651252264495,0.0,0.4966085294052298,0.2189469517844047,0.3106932485641532,-0.5121961872428478,1.3719092122881378,-0.9069486415266368,1.7666616665719268,0.18859193722970866,0.3006877312192587,-2.352128283211371,3.2118413082566604,-3.5178755138807003,4.37758853892599,0.9932170588104596,0.0,0.3006877312192587,0.5983180274629728,False
ACKR3,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE199838,3.0,-0.6439645303976353,0.0,1.0780250907428097,0.32807859822466046,0.32807859822466046,-2.0555728066213477,0.767643745826077,-2.0555728066213477,0.767643745826077,0.18865612823256728,0.18865612823256728,-4.812598368997371,3.5246693082020997,-4.812598368997371,3.5246693082020997,2.1560501814856194,7.237780587189004,0.18865612823256728,0.5430799573753683,False
ACKR4,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE199838,2.0,-1.4835880096765384,2.040378868931269,1.0000000111388538,1.1175679730880845,1.1175679730880845,-15.68363548232551,12.716459462972434,-15.68363548232551,12.716459462972434,0.4110027748395165,0.4110027748395165,,,,,5.306506423922628,81.15520984782322,0.4110027748395165,0.6554280503041576,False
ACTA1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.27523726279680494,0.0,0.4028942630064926,0.17959707760687785,0.2829461076359254,-0.2963207932729548,0.8467953188665647,-0.6252235320435522,1.175698057637162,0.22291988351938846,0.40242205248987406,-0.49750659342345394,1.0479811190170638,-0.9421815795948947,1.4926561051885046,1.2086827890194778,0.0,0.40242205248987406,0.6520938763588853,False
ACTA2,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.3858769067724175,0.0,0.2224299194179574,0.14916420686887838,0.3162772987880739,0.9111698277419809,1.8605839858028541,0.3793413857992003,2.3924124277456347,0.0026391790714646486,0.02200523077639122,0.7440751249071245,2.0276786886377103,0.025045523784124946,2.74670828976071,0.6672897582538722,0.0,0.02200523077639122,0.4380293061545702,False
ACTB,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.7068785604968467,0.7393007668893763,1.091369856881846,0.569392476207445,0.569392476207445,-1.1051824216658783,2.5189395426595715,-1.1051824216658783,2.5189395426595715,0.302656088571078,0.302656088571078,-3.7302988152519934,5.144055936245687,-3.7302988152519934,5.144055936245687,7.91142633413897,62.080162624348056,0.302656088571078,0.5983180274629728,False
ACTC1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.4165720514917049,0.0,0.23143642399341402,0.13652618386578527,0.28379196558570785,-0.8510593009098574,0.01791519792644758,-1.319724743839142,0.4865806408557322,0.05537451497210531,0.23843730910550628,-1.003996809184103,0.1708527062006931,-1.637630326900016,0.8044862239166064,0.6943092719802421,0.0,0.23843730910550628,0.5816283690467094,False
ACTG1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.9907658068915051,0.41331566884033116,0.9533662790754754,0.44602192088369014,0.45680022630573064,-0.4286750073003369,2.410206621083347,-0.46297638556792897,2.444507999350939,0.11290238225999,0.11857575011424329,-2.375908664379681,4.357440278162691,-2.4025575299219932,4.384089143705003,5.994301961733358,49.952471210968206,0.11857575011424329,0.4764547983116318,False
