cohort,source_study,compartment,gene_symbol,n_case,n_control,case_mean,control_mean,raw_mean_difference,hedges_g,variance,welch_p_value,welch_p_for_canonical_union,welch_fdr_bh_canonical_union,analysis_tier
GSE96804,GSE96804,glomerular,A2M,41.0,20.0,15.166885365853663,14.900545,0.2663403658536634,0.577654091252433,0.07721807652227525,0.018691473428409044,0.018691473428409044,0.039987496432907874,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACAN,41.0,20.0,3.580841707317073,3.430717,0.15012470731707284,0.6195404516826784,0.07764304365897443,0.004052040623762933,0.004052040623762933,0.010436670422389396,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACKR2,,,,,,,,,1.0,1.0,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACKR3,,,,,,,,,1.0,1.0,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACKR4,,,,,,,,,1.0,1.0,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTA1,41.0,20.0,5.357706829268291,5.5418915,-0.1841846707317094,-0.9448688897854627,0.08195615253705268,0.0017056079150191766,0.0017056079150191766,0.004960755171452241,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTA2,41.0,20.0,8.304295121951219,7.4884305,0.8158646219512189,0.9544202029446601,0.08210988732437907,2.51808032162573e-05,2.51808032162573e-05,0.00012400357810270104,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTB,,,,,,,,,1.0,1.0,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTC1,41.0,20.0,4.590334634146341,4.6528635000000005,-0.06252886585365935,-0.2623874403098719,0.07497369448576416,0.2912001568665324,0.2912001568665324,0.41913551990164494,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTG1,41.0,20.0,16.464065853658546,16.675225,-0.21115914634145483,-0.9106275895285322,0.08141772362117246,0.0012250069336968686,0.0012250069336968686,0.003732219568422755,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTG2,41.0,20.0,3.250592682926829,3.2736090000000004,-0.02301631707317142,-0.21509856762865148,0.07478234046003138,0.3541845226784796,0.3541845226784796,0.4925870004569264,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ACTN1,41.0,20.0,7.128768292682928,6.3137675,0.8150007926829277,1.1396360238267955,0.08539677158721655,4.5720535021885486e-07,4.5720535021885486e-07,4.313154087004377e-06,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM10,41.0,20.0,10.40927780487805,9.771931000000002,0.6373468048780477,1.5234117688753377,0.0940578999833533,5.203394756765613e-10,5.203394756765613e-10,2.0371290472737374e-08,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM12,41.0,20.0,5.04957512195122,4.344807999999999,0.704767121951221,1.0254867278159945,0.08330230346961491,5.4039716255598135e-06,5.4039716255598135e-06,3.555722506565827e-05,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM15,41.0,20.0,7.2018651219512195,6.501035999999999,0.7008291219512204,1.9010698077676393,0.1050179253770635,1.5902983424298804e-12,1.5902983424298804e-12,4.814866300239572e-10,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM17,41.0,20.0,8.680960000000002,8.374946000000001,0.3060140000000011,1.1868904344634539,0.0863284549483784,1.842372610005107e-05,1.842372610005107e-05,9.72433039807757e-05,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM19,41.0,20.0,4.630471463414635,4.2758210000000005,0.35465046341463413,1.1828275136305784,0.08624686192787542,3.476476890070102e-07,3.476476890070102e-07,3.4456726644618856e-06,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM8,41.0,20.0,4.176987073170732,4.155836,0.021151073170732282,0.2278721883477784,0.07483029249754415,0.3776520192420901,0.3776520192420901,0.5187746159062395,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAM9,41.0,20.0,10.313812439024387,10.0223945,0.2914179390243863,0.8916409127120717,0.0811277313365239,0.0005405325930066496,0.0005405325930066496,0.001863846658735865,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS1,41.0,20.0,9.183495853658536,8.010064499999999,1.173431353658538,1.4969314351035128,0.09338010594821074,8.151233597653317e-07,8.151233597653317e-07,7.013643853804997e-06,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS13,41.0,20.0,3.9827307317073166,3.9553825000000002,0.027348231707316373,0.3361585092592452,0.07534789257487459,0.18224023513999524,0.18224023513999524,0.28538820822923255,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS14,41.0,20.0,3.4180263414634147,3.3547805000000004,0.06324584146341428,0.6828233919040232,0.07834149631372135,0.011543811392757387,0.011543811392757387,0.02597357563370412,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS16,41.0,20.0,5.712148780487804,4.9777715,0.7343772804878039,1.1859688828546677,0.08630992348802842,3.750802248021348e-07,3.750802248021348e-07,3.6710977002508946e-06,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS18,41.0,20.0,3.4051397560975607,3.3343149999999993,0.07082475609756145,0.4704521417844302,0.07626588134065561,0.028128529767170635,0.028128529767170635,0.05676453300952219,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS2,41.0,20.0,4.461626829268293,4.244370000000001,0.21725682926829215,1.0800473068659209,0.08427585564030621,3.4500909066274545e-06,3.4500909066274545e-06,2.433712774675042e-05,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS3,41.0,20.0,4.5104631707317075,3.9531104999999997,0.5573526707317078,0.8867387942044596,0.0810538514375846,3.865742546558886e-05,3.865742546558886e-05,0.00018017121511640523,primary glomerular meta-analysis
GSE96804,GSE96804,glomerular,ADAMTS4,41.0,20.0,3.7810041463414645,3.7900675,-0.009063353658535611,-0.07936451880109648,0.07444362294349435,0.7554490445625178,0.7554490445625178,0.9156603744465194,primary glomerular meta-analysis
