gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
A2M,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.7312100221432959,0.26371627203530745,1.1332783539776425,0.40032001136725853,0.40032001136725853,-0.9912279675393746,2.4536480118259663,-0.9912279675393746,2.4536480118259663,0.20929718229516953,0.20929718229516953,-7.542201622235071,9.004621666521663,-7.542201622235071,9.004621666521663,4.926771267824506,59.40546270005485,0.20929718229516953,0.754127183883559,False
ACAN,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.3210242641927338,0.1311653901870757,1.0444364862843125,0.3101973851546824,0.3101973851546824,-1.013647361804206,1.6556958901896732,-1.013647361804206,1.6556958901896732,0.4094480909829863,0.4094480909829863,-5.737954584086784,6.380003112472251,-5.737954584086784,6.380003112472251,3.796174373922579,47.315381144270134,0.4094480909829863,0.861544738058117,False
ACKR2,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE30528;GSE104948_H7,2.0,-0.511350673946114,1.2988659129051867,1.0000000130017777,0.8701567568338846,0.8701567568338846,-11.56774057884323,10.545039230951003,-11.56774057884323,10.545039230951003,0.6617691775816391,0.6617691775816391,,,,,7.016375163066302,85.74762642020728,0.6617691775816391,1.0,False
ACKR3,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE30528;GSE104948_H7,2.0,-0.0914821288910253,0.0,0.47500928998306197,0.2149008017862832,0.3118078065194342,-2.822055714355636,2.6390914565735852,-4.053375956864502,3.8704116990824518,0.7437867042753659,0.818318860404386,,,,,0.47500928998306197,0.0,0.818318860404386,1.0,False
ACKR4,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE30528,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,False
ACTA1,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,-0.44138216530761554,0.16434535719809343,0.8964716830690213,0.304766726299849,0.32188390544403095,-1.752687552158468,0.8699232215432369,-1.826336829728793,0.9435724991135619,0.2845328944784243,0.30388350619694227,-6.8856720209727165,6.002907690357485,-7.018664157775455,6.135899827160224,4.266215517579274,53.120043003949434,0.30388350619694227,0.8038540045682628,False
ACTA2,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,1.4709100680165186,3.2323427030489666,1.0353482288462503,1.0957228069544105,1.0957228069544105,-3.2436046583746183,6.1854247944076555,-3.2436046583746183,6.1854247944076555,0.3115449991148086,0.3115449991148086,-25.28146365361984,28.22328378965288,-25.28146365361984,28.22328378965288,20.37642490110818,90.184735498467,0.3115449991148086,0.8104310109863626,False
ACTB,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE30528;GSE104948_H7,2.0,0.839404985525884,0.07650700802023282,1.0000000098345319,0.3813175717780556,0.3813175717780556,-4.00569415098708,5.684504122038848,-4.00569415098708,5.684504122038848,0.2714548220981537,0.2714548220981537,,,,,1.356258246498362,26.267729425289225,0.2714548220981537,0.7814306092016704,False
ACTC1,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.9913913392028812,1.7499271130404699,1.0063989247207856,0.8090173173229804,0.8090173173229804,-2.489529229591427,4.47231190799719,-2.489529229591427,4.47231190799719,0.3451381761258469,0.3451381761258469,-18.71116017767305,20.693942856078813,-18.71116017767305,20.693942856078813,20.497894164029052,90.24290015356932,0.3451381761258469,0.8264317795306977,False
ACTG1,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE104948_H7,2.0,-0.25809324698962893,0.8273681437403251,1.0000000000604123,0.6949710779764299,0.6949710779764299,-9.088538049478176,8.572351555498917,-9.088538049478176,8.572351555498917,0.7736264526892268,0.7736264526892268,,,,,6.80848690824117,85.31244880871293,0.7736264526892268,1.0,False
