gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
A2M,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7,3.0,0.7312100221432959,0.26371627203530745,1.1332783539776425,0.40032001136725853,0.40032001136725853,-0.9912279675393746,2.4536480118259663,-0.9912279675393746,2.4536480118259663,0.20929718229516953,0.20929718229516953,-7.542201622235071,9.004621666521663,-7.542201622235071,9.004621666521663,4.926771267824506,59.40546270005485,0.20929718229516953,0.6379018857242897,False
ACAN,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.36569346055668095,0.09811885921433376,0.8755830198359056,0.2576924261706101,0.27539305832540245,-0.45439884900957184,1.1857857701229337,-0.5107301604117768,1.2421170815251386,0.25092374452398164,0.27620555116640266,-1.37953083191179,2.1109177530251517,-1.4288799932203369,2.160266914333699,4.047905264758198,25.887593612465494,0.27620555116640266,0.702171904426277,False
ACKR2,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE30528;GSE104948_H7;GSE1009_donor_averaged,3.0,-0.27049297901480673,0.8882452207962666,0.9156616310161625,0.6282331646789004,0.6565281484719391,-2.973562119939621,2.4325761619100073,-3.0953056091949556,2.5543196511653417,0.7087463733674093,0.7202964535207819,-14.662322211237788,14.121336253208176,-14.864798092156235,14.323812134126623,7.850831719822259,74.52499211070493,0.7202964535207819,1.0,False
ACKR3,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE30528;GSE104948_H7;GSE1009_donor_averaged,3.0,-0.06760265992505202,0.0,0.2708442936805567,0.15497220567179695,0.2977789328808841,-0.7343942436941042,0.5991889238440002,-1.3488419983468698,1.2136366784967656,0.7052464888584216,0.8414997759185763,-2.0367112336074773,1.901505913757373,-3.8512427472291875,3.7160374273790837,0.5416885873611134,0.0,0.8414997759185763,1.0,False
ACKR4,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE30528,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,False
ACTA1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,-0.30992678439995563,0.21683307528989387,1.0744406625911995,0.3488145278195893,0.3488145278195893,-1.4200102896886888,0.8001567208887777,-1.4200102896886888,0.8001567208887777,0.4397141470314036,0.4397141470314036,-2.8132597287368846,2.1934061599369734,-2.8132597287368846,2.1934061599369734,6.601632715792045,54.55669636355908,0.4397141470314036,0.8585939579191746,False
ACTA2,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,1.023562354153305,2.958533139852197,1.0399595232955636,0.9379513500589522,0.9379513500589522,-1.9614174543776732,4.008542162684283,-1.9614174543776732,4.008542162684283,0.3549550914803675,0.3549550914803675,-7.405998576254993,9.453123284561602,-7.405998576254993,9.453123284561602,22.659339617484775,86.76042616138253,0.3549550914803675,0.7841880077942509,False
ACTB,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE30528;GSE104948_H7;GSE1009_donor_averaged,3.0,0.6868435183102718,0.09748833558843954,1.0981900768375912,0.3882269715808412,0.3882269715808412,-0.9835623207244012,2.3572493573449447,-0.9835623207244012,2.3572493573449447,0.21888773089654995,0.21888773089654995,-5.643454974444916,7.017142011065459,-5.643454974444916,7.017142011065459,2.765681284937714,27.685087544530933,0.21888773089654995,0.6467512954415042,False
ACTC1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.9061283194656109,1.251226198729322,0.9154521423822363,0.6056358442145515,0.6329854802240826,-1.0212752353023677,2.8335318742335893,-1.1083139833717544,2.920570622302976,0.23150754486187855,0.24768139190212501,-4.5669084872253,6.379165126156522,-4.623905068954408,6.43616170788563,20.53502891238621,85.39081677070112,0.24768139190212501,0.6730310624856782,False
ACTG1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE104948_H7,2.0,-0.25809324698962893,0.8273681437403251,1.0000000000604123,0.6949710779764299,0.6949710779764299,-9.088538049478176,8.572351555498917,-9.088538049478176,8.572351555498917,0.7736264526892268,0.7736264526892268,,,,,6.80848690824117,85.31244880871293,0.7736264526892268,1.0,False
