accession,repository,repository_url,accessed,related_publication
GSE1009,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1009,2026-08-21,"Baelde et al., Am J Kidney Dis. 2004;43:636-650. doi:10.1053/j.ajkd.2003.12.028"
GSE30528,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30528,2026-08-21,"Woroniecka et al., Diabetes. 2011;60:2354-2369. doi:10.2337/db10-1181"
GSE30529,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30529,2026-08-21,"Woroniecka et al., Diabetes. 2011;60:2354-2369. doi:10.2337/db10-1181"
GSE96804,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE96804,2026-08-21,"Pan et al., Diabetes. 2018;67:717-730. doi:10.2337/db17-0755"
GSE104948,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104948,2026-08-21,source publication linked from GEO record; see provenance audit
GSE104954,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104954,2026-08-21,source publication linked from GEO record; see provenance audit
GSE111154,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111154,2026-08-21,source publication linked from GEO record; see provenance audit
GSE142025,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142025,2026-08-21,"Fan et al., Diabetes. 2019;68:2301-2314. doi:10.2337/db19-0204"
GSE163603,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163603,2026-08-21,"Barwinska et al., Sci Adv. 2021;7:eabd3359. doi:10.1126/sciadv.abd3359"
GSE166239,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166239,2026-08-21,"Nordbø et al., Physiol Rep. 2023;11:e15825. doi:10.14814/phy2.15825"
GSE199838,NCBI Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199838,2026-08-21,PMID 36792603
