cohort,reactome_id,reactome_name,estimand,genes_in_reference_set,genes_used,observed_mean_hedges_g,bootstrap_95_ci_low,bootstrap_95_ci_high,permutation_null_mean,permutation_null_sd,observed_studentized_statistic,two_sided_studentized_permutation_p,studentized_maxT_fwer_p,raw_mean_maxT_fwer_p_sensitivity,permutation_method,permutation_allocations,design_restriction,exchangeability_scope,maxT_alpha_two_sided
GSE96804,R-HSA-166658,Complement cascade,common_three_cohort_intersection,137,51,0.10355308738015295,-0.04888925985051834,0.26552190069714005,-0.0012701291960193696,0.0873416259204924,1.2001518802912317,0.23066769332306677,0.6992030079699203,0.6877231227687723,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-9769740,Coagulation pathway,common_three_cohort_intersection,58,52,-0.09865791000277702,-0.18728302871007554,-0.027869398502501308,-6.807812016631731e-05,0.0491906899445203,-2.0042376310193086,0.043659563404365956,0.1982380176198238,0.7226327736722633,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-202733,Cell surface interactions at the vascular wall,common_three_cohort_intersection,216,125,0.020414548432943,-0.07632576128696025,0.11908703731698678,-0.0004014281059558286,0.05485465503899571,0.3794751151766596,0.7048029519704803,0.99830001699983,0.999790002099979,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-380108,Chemokine receptors bind chemokines,common_three_cohort_intersection,57,46,0.0662457737459478,-0.104497430059976,0.23258760135983766,-0.00030636927654841114,0.1119817503492646,0.5943124019308854,0.5547144528554715,0.981150188498115,0.9210607893921061,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-1474244,Extracellular matrix organization,common_three_cohort_intersection,321,255,0.34130925044544824,0.2356441666807663,0.4658664855407761,-0.00045096702586133324,0.08057387270634597,4.241576158525549,4.999950000499995e-05,6.999930000699993e-05,0.005059949400505995,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-1234174,Cellular response to hypoxia,common_three_cohort_intersection,62,47,-0.4296403271910092,-0.6248889212193689,-0.26599137847477977,9.352090960704551e-06,0.11852888519354922,-3.6248521074030404,0.0001999980000199998,0.0013499865001349986,0.0002599974000259997,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-170834,Signaling by TGF-beta Receptor Complex,common_three_cohort_intersection,94,85,-0.0880495645764764,-0.20729380964948557,0.026555225124368788,0.00038184582874749035,0.06730463785591077,-1.3138977226880324,0.1908580914190858,0.6186338136618634,0.7951720482795172,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-166658,Complement cascade,cohort_specific_mapped_set_sensitivity,137,105,0.342840628791821,,,-0.0007626412711762252,0.1263516188217775,2.71942119354766,0.006509934900650993,0.03015969840301597,0.00963990360096399,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-9769740,Coagulation pathway,cohort_specific_mapped_set_sensitivity,58,56,-0.1168669136278377,,,1.874034274386451e-05,0.04413650382046301,-2.648276230624091,0.006509934900650993,0.037839621603783964,0.6430535694643054,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
GSE96804,R-HSA-202733,Cell surface interactions at the vascular wall,cohort_specific_mapped_set_sensitivity,216,183,0.16963767697559962,,,-0.0003255484579842434,0.07890517298663101,2.154018792435585,0.03064969350306497,0.14160858391416087,0.33251667483325165,restricted Monte Carlo,100000,case count preserved within archived sex strata,"Sex-restricted exchangeability; age, batch, renal function, medication, ancestry, and control-origin confounding remain untestable.",0.05
