record_key,accession,record_source,title,screening_stage,final_decision,exclusion_or_inclusion_reason,analysis_role_if_included,screening_date,audit_stratum,second_pass_rule_check,second_pass_disposition,audit_method,independent_human_confirmation,audit_seed
E-MTAB-12135,E-MTAB-12135,ArrayExpress unique record,Transcriptome analysis identifies oxidative stress injury biomarkers for Diabetic Nephropathy,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Peripheral-blood microarray (six DN, six controls), not kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE100185,GSE100185,GEO direct search,Sirt6 Deficiency Exacerbates Podocyte Injury and Proteinuria through Targeting Notch Signaling,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Deposited experiment does not provide an eligible independent human kidney-tissue DKD-versus-control bulk contrast.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE1009,GSE1009,GEO direct search,Diabetic nephropathy,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,small-sample glomerular sensitivity; apparent technical replicates donor-averaged,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE104948,GSE104948,GEO direct search,Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,primary glomerular source study; H7 batch only,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE104954,GSE104954,GEO direct search,Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies.,full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,tubulointerstitial contextual source study; H7 batch only,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE111154,GSE111154,GEO direct search,RNA Expression data for early diabetic nephropathy (EDN),full accession/sample-metadata review,INCLUDED,Eligible human bulk kidney-tissue DKD-versus-non-DKD contrast.,small-sample whole/cortical-kidney sensitivity,2026-08-21,all full records,criterion and recorded reason internally consistent,INCLUDED,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE117085,GSE117085,PubMed accession discovery,Roux-en-Y Gastric Bypass Reduces Podocyte Injury in Diabetic Kidney Disease,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Rat diabetic-kidney gastric-bypass experiment (Rattus norvegicus), not human kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE129666,GSE129666,GEO direct search,RNA sequence data in whole cell extracts of differentiated human podocytes,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Differentiated human podocyte culture with SMPDL3B perturbation, not patient kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE131882,GSE131882,GEO direct search,The Single Cell Transcriptomic Landscape of Early Human Diabetic Nephropathy,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,Single-nucleus transcriptomics; outside the prespecified bulk-tissue estimand.,,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
GSE140308,GSE140308,GEO direct search,Genomewide transcriptional analysis of growth hormone-treated human podocytes,full accession/sample-metadata review,EXCLUDED_FULL_RECORD,"Growth-hormone-treated human podocyte culture, not patient kidney tissue.",,2026-08-21,all full records,criterion and recorded reason internally consistent,EXCLUDED_FULL_RECORD,AI-assisted deterministic second pass against archived eligibility rules; not an independent human dual-screen,required before submission,20260821
